,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,D,2022-02-23 17:32:11,2022-02-20,BATL,Evans Grant R,"VP, Exploration, Geosciences",F - Tax,$17.98,-1312,6465,-17%,"-$23,590",,,,,RAM
1,D,2022-02-23 17:32:11,2022-02-20,BATL,Evans Grant R,"VP, Exploration, Geosciences",M - OptEx,$0.00,4427,6465,+217%,+$0,,,,,RAM
2,D,2022-02-23 16:54:45,2022-02-20,BATL,Rohling Daniel P,COO,F - Tax,$17.98,-1916,13749,-12%,"-$34,450",,,,,RAM
3,D,2022-02-23 16:54:45,2022-02-20,BATL,Rohling Daniel P,COO,M - OptEx,$0.00,6641,13749,+93%,+$0,,,,,RAM
4,D,2022-02-23 16:54:12,2022-02-20,BATL,Little Richard H,CEO,F - Tax,$17.98,-4536,32570,-12%,"-$81,557",,,,,RAM
5,D,2022-02-23 16:54:12,2022-02-20,BATL,Little Richard H,CEO,M - OptEx,$0.00,17709,32570,+119%,+$0,,,,,RAM
6,D,2022-02-23 16:53:16,2022-02-20,BATL,Mayer Walter R,"VP, Legal",F - Tax,$17.98,-656,3393,-16%,"-$11,795",,,,,RAM
7,D,2022-02-23 16:53:16,2022-02-20,BATL,Mayer Walter R,"VP, Legal",M - OptEx,$0.00,2214,3393,+188%,+$0,,,,,RAM
8,D,2022-02-23 16:52:52,2022-02-20,BATL,Kasparek Leah R.,"SVP, HR, Corporate Secretary",F - Tax,$17.98,-656,3709,-15%,"-$11,795",,,,,RAM
9,D,2022-02-23 16:52:52,2022-02-20,BATL,Kasparek Leah R.,"SVP, HR, Corporate Secretary",M - OptEx,$0.00,2214,3709,+148%,+$0,,,,,RAM
10,,2021-12-09 19:54:46,2021-12-08,BATL,Rogers William D,Dir,P - Purchase,$10.59,2000,4000,+100%,"+$21,180",,,,,RAM
11,,2021-12-09 19:53:43,2021-12-07,BATL,Kasparek Leah R.,"SVP, HR, Corporate Secretary",S - Sale,$10.02,-2,2151,0%,-$20,,,,,RAM
12,M,2021-12-09 19:52:19,2021-12-07,BATL,Andrews Richard Kevin,"EVP, CFO, Treasurer",P - Purchase,$10.54,350,6924,+5%,"+$3,690",,,,,RAM
13,A,2021-09-15 20:40:29,2021-09-10,BATL,Hinds Gregory S.,Dir,P - Purchase,$7.99,6201,11601,+115%,"+$49,519",,,,,RAM
14,,2021-09-15 18:47:34,2021-09-14,BATL,Little Richard H,CEO,P - Purchase,$7.90,3000,19397,+18%,"+$23,706",,,,,RAM
15,,2021-09-14 19:00:56,2021-09-14,BATL,Rohling Daniel P,COO,P - Purchase,$8.50,4000,9024,+80%,"+$34,000",,,,,RAM
16,,2021-09-14 19:00:47,2021-09-10,BATL,Evans Grant R,"VP, Exploration, Geosciences",P - Purchase,$7.99,6201,9551,+185%,"+$49,519",,,,,RAM
17,,2021-09-14 19:00:38,2021-09-10,BATL,Little Richard H,CEO,P - Purchase,$7.85,3000,16397,+22%,"+$23,538",,,,,RAM
18,,2021-09-14 19:00:28,2021-09-10,BATL,Andrews Richard Kevin,"EVP, CFO, Treasurer",P - Purchase,$7.92,1550,6574,+31%,"+$12,280",,,,,RAM
19,D,2021-08-24 17:00:27,2021-08-21,BATL,Andrews Richard Kevin,"EVP, CFO, Treasurer",F - Tax,$11.75,-1617,5024,-24%,"-$19,000",,,,,RAM
20,D,2021-08-24 17:00:27,2021-08-21,BATL,Andrews Richard Kevin,"EVP, CFO, Treasurer",M - OptEx,$0.00,6641,5024,-411%,+$0,,,,,RAM
