,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,M,2021-12-10 20:50:47,2021-12-07,REFI,Mazarakis John,Exec. COB,P - Purchase,$16.00,161250,204778,+370%,"+$2,580,000",,,,,REFI
1,,2021-12-10 20:49:10,2021-12-07,REFI,"Chicago Atlantic Cre Holdings, LLC",10%,P - Purchase,$16.00,175000,4125298,+4%,"+$2,800,000",,,,,REFI
2,,2021-12-10 20:48:05,2021-12-07,REFI,"Chicago Atlantic Fund Qp, LLC",10%,P - Purchase,$16.00,918750,6611997,+16%,"+$14,700,000",,,,,REFI
3,,2021-12-10 20:46:53,2021-12-07,REFI,Cappell Anthony,CEO,P - Purchase,$16.00,156250,169617,>999%,"+$2,500,000",,,,,REFI
4,M,2021-12-10 20:45:54,2021-12-07,REFI,Bodmeier Andreas,"Co-Pres, CIO",P - Purchase,$16.00,157250,177044,+794%,"+$2,516,000",,,,,REFI
5,,2021-12-10 20:44:56,2021-12-08,REFI,Steiner Michael L.,Dir,P - Purchase,$16.00,5000,189267,+3%,"+$80,000",,,,,REFI
6,,2021-12-10 20:44:56,2021-12-10,REFI,Steiner Michael L.,Dir,A - Grant,$0.00,4688,189267,+3%,+$0,,,,,REFI
7,,2021-12-10 20:43:45,2021-12-08,REFI,Sack Peter,Co-Pres,P - Purchase,$16.00,300,3425,+10%,"+$4,800",,,,,REFI
8,,2021-12-10 20:43:45,2021-12-10,REFI,Sack Peter,Co-Pres,A - Grant,$0.00,3125,3425,>999%,+$0,,,,,REFI
9,,2021-12-10 20:42:06,2021-12-08,REFI,Papastavrou Jason D,Dir,P - Purchase,$16.00,5000,9688,+107%,"+$80,000",,,,,REFI
10,,2021-12-10 20:42:06,2021-12-10,REFI,Papastavrou Jason D,Dir,A - Grant,$0.00,4688,9688,+94%,+$0,,,,,REFI
11,,2021-12-10 20:40:18,2021-12-08,REFI,Menze Lindsay,CFO,P - Purchase,$16.00,300,9975,+3%,"+$4,800",,,,,REFI
12,,2021-12-10 20:40:18,2021-12-10,REFI,Menze Lindsay,CFO,A - Grant,$0.00,9375,9975,>999%,+$0,,,,,REFI
13,,2021-12-10 20:39:04,2021-12-08,REFI,Konigsberg Brandon,Dir,P - Purchase,$16.00,1000,5688,+21%,"+$16,000",,,,,REFI
14,,2021-12-10 20:39:04,2021-12-10,REFI,Konigsberg Brandon,Dir,A - Grant,$0.00,4688,5688,+469%,+$0,,,,,REFI
15,,2021-12-10 20:37:48,2021-12-10,REFI,Kite David,COO,A - Grant,$0.00,3125,16121,+24%,+$0,,,,,REFI
16,,2021-12-10 20:36:28,2021-12-08,REFI,Herbst Frederick C,Dir,P - Purchase,$16.00,5000,9688,+107%,"+$80,000",,,,,REFI
17,,2021-12-10 20:36:28,2021-12-10,REFI,Herbst Frederick C,Dir,A - Grant,$0.00,4688,9688,+94%,+$0,,,,,REFI
18,,2021-12-10 20:35:11,2021-12-10,REFI,Gulbrandsen Donald E.,Dir,A - Grant,$0.00,4688,785568,+1%,+$0,,,,,REFI
