,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2021-12-20 17:37:31,2021-12-20,IEA,Moerbeek Peter J,CFO,P - Purchase,$8.71,10000,201290,+5%,"+$87,100",,,,,IEA
1,,2021-12-20 17:36:28,2021-12-17,IEA,Garner Charles Hugh Farkas,Dir,P - Purchase,$9.07,5500,129383,+4%,"+$49,885",,,,,IEA
2,,2021-12-02 16:33:52,2021-12-02,IEA,Hanson Christopher,"EVP, Wind Operations",P - Purchase,$9.67,2000,194387,+1%,"+$19,340",,,,,IEA
3,,2021-12-02 16:32:29,2021-12-01,IEA,Hummer Brian,"EVP, Operations",P - Purchase,$9.74,2000,182496,+1%,"+$19,480",,,,,IEA
4,D,2021-12-02 16:31:00,2021-12-01,IEA,Roehm John Paul,"Pres, CEO",P - Purchase,$9.73,2000,1358628,0%,"+$19,460",,,,,IEA
5,,2021-12-02 16:29:09,2021-11-30,IEA,Roth Erin Jennifer,"EVP, GC",P - Purchase,$9.57,1568,27629,+6%,"+$15,006",,,,,IEA
6,,2021-12-02 16:27:11,2021-11-30,IEA,Eber John,Dir,S - Sale,$9.65,-15000,27952,-35%,"-$144,750",,,,,IEA
7,AD,2021-08-05 07:24:23,2021-07-28,IEA,Ares Management Corp,"Dir, 10%",P - Purchase,$11.00,3185039,11861174,+37%,"+$35,035,429",,,,,IEA
8,AD,2021-08-05 07:22:11,2021-07-28,IEA,Ares Management LLC,"Dir, 10%",P - Purchase,$11.00,3185039,11861174,+37%,"+$35,035,429",,,,,IEA
9,D,2021-08-02 21:56:49,2021-07-29,IEA,Ares Management Corp,"Dir, 10%",P - Purchase,$11.00,3185039,11861174,+37%,"+$35,035,429",,,,,IEA
10,D,2021-08-02 21:55:32,2021-07-29,IEA,Ares Management LLC,"Dir, 10%",P - Purchase,$11.00,3185039,11861174,+37%,"+$35,035,429",,,,,IEA
11,M,2021-02-11 18:56:41,2021-02-09,IEA,Ares Management Corp,"Dir, 10%",P - Purchase,"$1,000.00",106606,216606,+97%,"+$106,606,370",,,,,IEA
12,M,2021-02-11 18:56:02,2021-02-09,IEA,Ares Management LLC,"Dir, 10%",P - Purchase,"$1,000.00",106606,216606,+97%,"+$106,606,370",,,,,IEA
13,M,2021-02-10 16:41:04,2021-02-08,IEA,"Ocm Fie, LLC","Dir, 10%",S - Sale,$24.05,-8909889,2026650,-81%,"-$214,267,692",,,,,IEA
14,M,2021-02-10 16:40:51,2021-02-08,IEA,"Oaktree Capital Group, LLC","Dir, 10%",S - Sale,$24.05,-8909889,2026650,-81%,"-$214,267,692",,,,,IEA
15,,2021-01-04 19:58:10,2020-12-30,IEA,Stoecker Michael,COO,S - Sale,$17.77,-3000,171105,-2%,"-$53,310",,,,,IEA
16,,2020-12-30 20:41:15,2020-12-29,IEA,Eber John,Dir,S - Sale,$18.50,-17170,37444,-31%,"-$317,645",,,,,IEA
17,,2020-12-30 20:36:51,2020-12-28,IEA,Melman Gil,GC,S - Sale,$18.51,-9154,114585,-7%,"-$169,441",,,,,IEA
18,,2020-12-30 20:33:09,2020-12-28,IEA,Glanvill Derek,Dir,S - Sale,$18.56,-25261,69507,-27%,"-$468,844",,,,,IEA
19,M,2020-12-29 20:00:14,2020-12-24,IEA,Montgomery Terence R,Dir,S - Sale,$17.86,-14892,42601,-26%,"-$266,021",,,,,IEA
20,M,2020-08-31 16:58:29,2020-08-18,IEA,Stoecker Michael,COO,P - Purchase,$4.60,10000,174105,+6%,"+$46,000",,,,,IEA
21,,2020-05-18 21:11:29,2020-05-15,IEA,Melman Gil,GC,P - Purchase,$1.80,5000,130082,+4%,"+$8,995",,,,,IEA
22,,2020-05-15 17:07:30,2020-05-15,IEA,Hanson Christopher,"EVP, Wind Operations",P - Purchase,$1.74,5000,81222,+7%,"+$8,700",,,,,IEA
23,M,2020-05-15 16:36:32,2020-05-14,IEA,Roehm John Paul,"Pres, CEO",P - Purchase,$1.72,5000,227331,+2%,"+$8,624",,,,,IEA
24,M,2020-05-13 17:53:31,2020-05-11,IEA,Stoecker Michael,COO,P - Purchase,$1.85,15000,126161,+13%,"+$27,800",,,,,IEA
25,,2020-04-07 19:47:05,2020-04-07,IEA,Moerbeek Peter J,CFO,P - Purchase,$1.97,5000,5000,New,"+$9,850",,,,,IEA
26,,2020-03-13 21:45:09,2020-03-13,IEA,Roehm John Paul,"Pres, CEO",P - Purchase,$2.29,5000,225839,+2%,"+$11,458",,,,,IEA
27,,2019-07-18 08:18:10,2019-07-15,IEA,Roehm John Paul,"Pres, CEO",P - Purchase,$2.79,1000,220839,0%,"+$2,790",,,,,IEA
28,,2019-07-18 08:15:48,2019-07-15,IEA,Layman Andrew Dean,CFO,P - Purchase,$2.79,1000,143906,+1%,"+$2,790",,,,,IEA
29,,2019-05-28 17:17:43,2019-05-23,IEA,Layman Andrew Dean,CFO,P - Purchase,$3.51,14900,68620,+28%,"+$52,299",,,,,IEA
30,,2019-04-16 17:20:19,2019-04-15,IEA,Layman Andrew Dean,CFO,P - Purchase,$4.90,1000,53720,+2%,"+$4,900",,,,,IEA
31,,2019-04-16 17:16:59,2019-04-15,IEA,Roehm John Paul,"Pres, CEO, Dir",P - Purchase,$4.90,1000,94125,+1%,"+$4,900",,,,,IEA
32,DM,2018-11-30 16:30:52,2018-11-28,IEA,Meghji Mohsin Y,Dir,P - Purchase,$8.61,16545,1417037,+1%,"+$142,427",,,,,IEA
