,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2019-09-18,18.309999,24.57,17.5,24.299999,24.299999,1749500,IGMS
1,2019-09-19,23.549999,24.5,19.615999,20.66,20.66,272400,IGMS
2,2019-09-20,20.82,21.610001,19.629999,21.4,21.4,145800,IGMS
3,2019-09-23,21.51,22.530001,20.75,21.0,21.0,206400,IGMS
4,2019-09-24,21.040001,21.49,19.040001,20.700001,20.700001,169400,IGMS
5,2019-09-25,20.66,21.24,19.129999,19.83,19.83,72900,IGMS
6,2019-09-26,20.27,20.51,17.305,18.120001,18.120001,174700,IGMS
7,2019-09-27,18.07,18.9,16.559999,17.91,17.91,116300,IGMS
8,2019-09-30,17.780001,18.030001,16.51,17.75,17.75,40100,IGMS
9,2019-10-01,17.66,18.18,17.09,17.68,17.68,254700,IGMS
10,2019-10-02,17.6,18.639999,16.1,17.5,17.5,199100,IGMS
11,2019-10-03,17.66,18.690001,17.32,18.17,18.17,191800,IGMS
12,2019-10-04,18.0,18.91,17.610001,18.17,18.17,42000,IGMS
13,2019-10-07,17.950001,18.25,17.150999,18.18,18.18,62900,IGMS
14,2019-10-08,17.98,18.25,17.030001,17.889999,17.889999,281600,IGMS
15,2019-10-09,17.879999,17.879999,17.650999,17.82,17.82,26700,IGMS
16,2019-10-10,17.799999,18.27,17.02,17.43,17.43,25200,IGMS
17,2019-10-11,17.33,18.42,17.129999,17.25,17.25,62500,IGMS
18,2019-10-14,17.01,19.51,17.01,18.389999,18.389999,185200,IGMS
19,2019-10-15,18.700001,19.6,18.544001,18.950001,18.950001,112600,IGMS
20,2019-10-16,18.809999,19.57,18.200001,18.58,18.58,58100,IGMS
21,2019-10-17,18.73,19.43,18.700001,18.83,18.83,24500,IGMS
22,2019-10-18,18.719999,19.290001,17.500999,19.0,19.0,35900,IGMS
23,2019-10-21,19.0,19.99,18.74,19.030001,19.030001,125000,IGMS
24,2019-10-22,19.049999,19.475,18.65,18.85,18.85,87700,IGMS
25,2019-10-23,18.889999,21.389999,18.889999,20.91,20.91,41700,IGMS
26,2019-10-24,21.09,22.733999,20.43,21.77,21.77,13500,IGMS
27,2019-10-25,21.6,23.74,21.59,23.030001,23.030001,40600,IGMS
28,2019-10-28,23.0,25.129999,22.226999,23.65,23.65,72500,IGMS
29,2019-10-29,23.02,24.200001,23.02,23.799999,23.799999,98100,IGMS
30,2019-10-30,23.610001,23.799999,22.51,23.700001,23.700001,31800,IGMS
31,2019-10-31,23.690001,24.01,23.129999,23.200001,23.200001,41300,IGMS
32,2019-11-01,23.07,23.93,22.465,22.48,22.48,55800,IGMS
33,2019-11-04,22.790001,24.041,22.09,23.99,23.99,43900,IGMS
34,2019-11-05,23.73,23.895,23.200001,23.799999,23.799999,100600,IGMS
35,2019-11-06,23.950001,23.950001,20.4,23.59,23.59,99500,IGMS
36,2019-11-07,23.73,24.09,22.610001,23.35,23.35,44200,IGMS
37,2019-11-08,22.84,24.799999,22.6,23.879999,23.879999,95200,IGMS
38,2019-11-11,23.700001,24.469999,23.129999,23.98,23.98,98200,IGMS
39,2019-11-12,23.91,24.34,23.18,23.99,23.99,72600,IGMS
40,2019-11-13,23.92,26.92,23.5,25.450001,25.450001,172900,IGMS
41,2019-11-14,25.75,27.98,23.530001,26.9,26.9,165200,IGMS
42,2019-11-15,27.1,28.950001,27.1,28.15,28.15,307900,IGMS
43,2019-11-18,28.98,28.98,25.530001,25.57,25.57,89100,IGMS
44,2019-11-19,25.25,26.004999,23.530001,24.51,24.51,133800,IGMS
45,2019-11-20,24.6,26.040001,23.24,24.26,24.26,132100,IGMS
46,2019-11-21,24.200001,24.950001,20.540001,20.73,20.73,143600,IGMS
47,2019-11-22,20.809999,21.5,19.43,20.059999,20.059999,81800,IGMS
48,2019-11-25,20.110001,23.0,19.955,22.52,22.52,251400,IGMS
49,2019-11-26,22.799999,24.08,22.059999,23.059999,23.059999,224400,IGMS
50,2019-11-27,23.040001,23.375,22.32,22.84,22.84,72300,IGMS
51,2019-11-29,23.049999,23.049999,21.400999,22.610001,22.610001,81400,IGMS
52,2019-12-02,23.0,23.636,19.809999,20.02,20.02,230100,IGMS
53,2019-12-03,20.030001,20.625,19.605,19.9,19.9,111000,IGMS
54,2019-12-04,20.129999,23.0,19.950001,22.209999,22.209999,126700,IGMS
55,2019-12-05,22.559999,23.299999,20.950001,21.52,21.52,84700,IGMS
56,2019-12-06,21.639999,23.0,20.34,22.719999,22.719999,207300,IGMS
57,2019-12-09,23.85,26.905001,23.799999,25.75,25.75,143300,IGMS
58,2019-12-10,26.0,28.43,25.5,27.360001,27.360001,103100,IGMS
59,2019-12-11,27.469999,28.200001,25.049999,26.33,26.33,74600,IGMS
60,2019-12-12,27.49,28.302,26.555,28.07,28.07,101600,IGMS
61,2019-12-13,28.110001,30.709999,27.195,29.08,29.08,109800,IGMS
62,2019-12-16,29.290001,33.18,29.26,30.139999,30.139999,158900,IGMS
63,2019-12-17,30.209999,32.029999,28.219999,30.290001,30.290001,158100,IGMS
64,2019-12-18,30.26,40.0,29.799999,34.389999,34.389999,205800,IGMS
65,2019-12-19,35.0,37.311001,35.0,36.689999,36.689999,145300,IGMS
66,2019-12-20,37.490002,48.139999,35.0,42.189999,42.189999,1236900,IGMS
67,2019-12-23,43.560001,48.93,42.248001,46.080002,46.080002,217800,IGMS
68,2019-12-24,46.93,47.675999,43.952,46.529999,46.529999,41300,IGMS
