,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-04-14 18:04:39,2022-04-13,DOMO,Durling Joy Driscoll,Dir,S - Sale,$51.68,-1940,19609,-9%,"-$100,252",,,,,DOMO
1,A,2022-04-12 16:41:42,2022-03-22,DOMO,James Joshua G,10%,S - Sale,$47.01,-220,341030,0%,"-$10,342",,,,,DOMO
2,D,2022-04-06 18:32:15,2022-04-04,DOMO,Wong Catherine,COO,S - Sale+OE,$55.24,-36000,160638,-18%,"-$1,988,705",,,,,DOMO
3,,2022-03-23 20:12:33,2022-03-22,DOMO,James Joshua G,10%,S - Sale,$49.61,-26360,353193,-7%,"-$1,307,626",,,,,DOMO
4,M,2022-03-23 20:08:46,2022-03-17,DOMO,Wong Catherine,COO,S - Sale,$48.85,-10550,160276,-6%,"-$515,403",,,,,DOMO
5,,2022-03-23 20:05:37,2022-03-23,DOMO,Mellor John M,CEO,S - Sale,$49.90,-11203,180597,-6%,"-$559,055",,,,,DOMO
6,,2022-03-22 19:29:58,2022-03-18,DOMO,Felt Bruce C. Jr.,CFO,S - Sale,$48.52,-20000,260145,-7%,"-$970,484",,,,,DOMO
7,,2021-12-22 18:43:29,2021-12-22,DOMO,Wong Catherine,"CPO, EVP of Engineering",S - Sale,$51.16,-5104,174985,-3%,"-$261,120",,,,,DOMO
8,,2021-10-12 16:53:20,2021-10-08,DOMO,Wong Catherine,"CPO, EVP of Engineering",S - Sale,$81.17,-11324,151939,-7%,"-$919,151",,,,,DOMO
9,,2021-09-21 20:57:17,2021-09-21,DOMO,Felt Bruce C. Jr.,CFO,S - Sale,$78.36,-7450,199865,-4%,"-$583,806",,,,,DOMO
10,,2021-09-21 20:53:46,2021-09-21,DOMO,Wong Catherine,"CPO, EVP of Engineering",S - Sale,$78.57,-4550,163263,-3%,"-$357,509",,,,,DOMO
11,,2021-06-23 18:52:20,2021-06-22,DOMO,Wong Catherine,"CPO, EVP of Engineering",S - Sale,$78.51,-4542,167813,-3%,"-$356,615",,,,,DOMO
12,M,2021-06-23 18:27:32,2021-06-22,DOMO,Evan Dana L,Dir,S - Sale,$79.84,-1667,14229,-10%,"-$133,087",,,,,DOMO
13,,2021-06-23 18:05:18,2021-06-22,DOMO,Felt Bruce C. Jr.,CFO,S - Sale,$80.18,-7540,207315,-4%,"-$604,524",,,,,DOMO
14,,2021-01-14 17:15:51,2021-01-12,DOMO,Wong Catherine,"CPO, EVP of Engineering",S - Sale,$61.92,-4000,141548,-3%,"-$247,696",,,,,DOMO
15,DM,2020-12-16 18:01:13,2020-12-14,DOMO,Felt Bruce C. Jr.,CFO,S - Sale+OE,$55.15,-172530,179678,-49%,"-$9,515,761",,,,,DOMO
16,,2020-12-14 17:49:47,2020-12-11,DOMO,Evan Dana L,Dir,S - Sale,$46.50,-4699,13639,-26%,"-$218,504",,,,,DOMO
17,M,2020-12-08 16:47:18,2020-12-04,DOMO,Felt Bruce C. Jr.,CFO,S - Sale,$45.82,-12114,202208,-6%,"-$555,064",,,,,DOMO
18,M,2020-09-10 18:35:16,2020-09-08,DOMO,Felt Bruce C. Jr.,CFO,S - Sale,$41.73,-11315,217144,-5%,"-$472,138",,,,,DOMO
19,,2020-07-17 21:27:09,2020-07-16,DOMO,Wong Catherine,"CPO, EVP of Engineering",S - Sale,$32.61,-7575,164610,-4%,"-$247,021",,,,,DOMO
20,,2020-07-10 16:27:45,2020-07-09,DOMO,Felt Bruce C. Jr.,CFO,S - Sale,$37.74,-15000,240506,-6%,"-$566,043",,,,,DOMO
21,,2020-07-09 16:28:34,2020-07-07,DOMO,Evan Dana L,Dir,S - Sale,$36.75,-5000,8334,-37%,"-$183,750",,,,,DOMO
22,,2020-06-24 20:40:47,2020-06-23,DOMO,Evan Dana L,Dir,S - Sale,$31.00,-6666,13334,-33%,"-$206,646",,,,,DOMO
23,AD,2019-09-10 17:59:25,2019-09-10,DOMO,James Joshua G,"Founder, CEO, COB, 10%",P - Purchase,$17.00,60000,162143,+59%,"+$1,020,000",,,,,DOMO
24,,2019-09-10 16:42:49,2019-09-10,DOMO,James Joshua G,"Founder, CEO, COB, 10%",P - Purchase,$17.00,60000,160000,+60%,"+$1,020,000",,,,,DOMO
25,,2019-04-16 18:54:39,2019-04-12,DOMO,Wong Catherine,"CPO, EVP of Engineering",S - Sale,$38.74,-6580,100449,-6%,"-$254,904",,,,,DOMO
26,,2018-07-03 20:20:11,2018-07-03,DOMO,Felt Bruce C. Jr.,CFO,P - Purchase,$21.00,3500,116833,+3%,"+$73,500",,,,,DOMO
27,D,2018-07-03 20:18:42,2018-07-03,DOMO,James Joshua G,"Founder, CEO, COB, 10%",P - Purchase,$21.00,101700,102143,>999%,"+$2,135,700",,,,,DOMO
