,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,D,2022-02-15 17:56:04,2022-02-15,MAN,Mondano Donald O,"SVP, Global Controller",A - Grant,$0.00,2250,1531,-313%,+$0,,,,,MAN
1,D,2022-02-15 17:56:04,2022-02-15,MAN,Mondano Donald O,"SVP, Global Controller",F - Tax,$110.03,-719,1531,-32%,"-$79,112",,,,,MAN
2,D,2022-02-15 17:54:40,2022-02-15,MAN,Buchband Richard,"SVP, GC",A - Grant,$0.00,2052,8505,+32%,+$0,,,,,MAN
3,D,2022-02-15 17:54:40,2022-02-15,MAN,Buchband Richard,"SVP, GC",F - Tax,$110.03,-819,8505,-9%,"-$90,115",,,,,MAN
4,DM,2022-02-15 17:51:21,2022-02-11,MAN,Prising Jonas,CEO,A - Grant,$0.00,65118,298617,+28%,+$0,,,,,MAN
5,DM,2022-02-15 17:51:21,2022-02-14,MAN,Prising Jonas,CEO,F - Tax,$109.81,-30013,298617,-9%,"-$3,295,716",,,,,MAN
6,D,2022-02-15 17:51:21,2022-02-15,MAN,Prising Jonas,CEO,G - Gift,$0.00,-35105,298617,-11%,-$0,,,,,MAN
7,DM,2022-02-15 17:49:31,2022-02-11,MAN,McGinnis John T,"EVP, CFO",A - Grant,$0.00,17952,21855,+460%,+$0,,,,,MAN
8,DM,2022-02-15 17:49:31,2022-02-14,MAN,McGinnis John T,"EVP, CFO",F - Tax,$109.81,-8440,21855,-28%,"-$926,825",,,,,MAN
9,D,2022-02-14 17:13:44,2022-02-10,MAN,Nettles Michelle,"Chief People, Culture",A - Grant,$0.00,4509,6948,+185%,+$0,,,,,MAN
10,D,2022-02-14 17:13:44,2022-02-11,MAN,Nettles Michelle,"Chief People, Culture",F - Tax,$110.36,-1825,6948,-21%,"-$201,407",,,,,MAN
11,D,2022-02-14 17:11:22,2022-02-10,MAN,Mondano Donald O,"SVP, Global Controller",A - Grant,$0.00,2127,0,-100%,+$0,,,,,MAN
12,D,2022-02-14 17:11:22,2022-02-11,MAN,Mondano Donald O,"SVP, Global Controller",F - Tax,$110.36,-712,0,-100%,"-$78,576",,,,,MAN
13,D,2022-02-14 17:11:22,2022-02-14,MAN,Mondano Donald O,"SVP, Global Controller",S - Sale+OE,$110.00,-1471,0,-100%,"-$161,830",,,,,MAN
14,D,2022-01-04 18:46:19,2022-01-01,MAN,Van Handel Michael J,Dir,M - OptEx,$0.00,2671,12395,+27%,+$0,,,,,MAN
15,,2022-01-04 18:44:16,2022-01-01,MAN,Sartain Elizabeth P,Dir,A - Grant,$97.33,1798,25969,+7%,"+$174,999",,,,,MAN
16,D,2022-01-04 18:43:18,2022-01-01,MAN,Read Paul,Dir,A - Grant,$97.33,1798,9822,+22%,"+$174,999",,,,,MAN
17,D,2022-01-04 18:43:18,2022-01-01,MAN,Read Paul,Dir,M - OptEx,$0.00,2671,9822,+37%,+$0,,,,,MAN
18,D,2022-01-04 18:42:38,2022-01-01,MAN,Payne Ulice Jr,Dir,M - OptEx,$0.00,2671,9132,+41%,+$0,,,,,MAN
19,D,2022-01-04 18:40:56,2022-01-01,MAN,Howard Julie,Dir,M - OptEx,$0.00,4085,4085,New,+$0,,,,,MAN
20,D,2022-01-04 18:28:38,2022-01-01,MAN,Downe William,Dir,A - Grant,$97.33,1798,26000,+7%,"+$174,999",,,,,MAN
21,,2022-01-04 18:16:50,2022-01-01,MAN,Boswell Gina,Dir,A - Grant,$97.33,1798,10730,+20%,"+$174,999",,,,,MAN
22,,2021-11-16 16:16:22,2021-11-12,MAN,Payne Ulice Jr,Dir,S - Sale,$103.54,-1100,6461,-15%,"-$113,894",,,,,MAN
23,D,2021-08-17 16:26:37,2021-08-14,MAN,Nettles Michelle,"Chief People, Culture",F - Tax,$122.58,-1023,4264,-19%,"-$125,399",,,,,MAN
24,D,2021-08-17 16:26:37,2021-08-14,MAN,Nettles Michelle,"Chief People, Culture",M - OptEx,$0.00,3186,4264,+296%,+$0,,,,,MAN
25,,2021-04-20 16:19:53,2021-04-16,MAN,McGinnis John T,"EVP, CFO",S - Sale,$110.16,-10000,12343,-45%,"-$1,101,600",,,,,MAN
26,D,2021-04-14 16:21:46,2021-04-12,MAN,Buchband Richard,"SVP, GC",M - OptEx,$76.97,5541,5146,-1403%,"+$426,491",,,,,MAN
27,D,2021-04-14 16:21:46,2021-04-12,MAN,Buchband Richard,"SVP, GC",S - Sale+OE,$105.47,-5541,5146,-52%,"-$584,409",,,,,MAN
28,,2021-02-26 16:26:10,2021-02-24,MAN,Dominguez Cari M,Dir,S - Sale,$98.30,-6200,14366,-30%,"-$609,460",,,,,MAN
29,DM,2021-02-16 16:35:58,2021-02-12,MAN,McGinnis John T,"EVP, CFO",A - Grant,$0.00,25044,22343,-927%,+$0,,,,,MAN
30,DM,2021-02-16 16:35:58,2021-02-12,MAN,McGinnis John T,"EVP, CFO",F - Tax,$92.49,-11800,22343,-35%,"-$1,091,382",,,,,MAN
31,DM,2021-02-16 16:33:16,2021-02-11,MAN,Buchband Richard,"SVP, GC",A - Grant,$0.00,3362,5146,+188%,+$0,,,,,MAN
32,DM,2021-02-16 16:33:16,2021-02-11,MAN,Buchband Richard,"SVP, GC",F - Tax,$93.11,-1118,5146,-18%,"-$104,098",,,,,MAN
33,,2021-01-07 17:40:49,2021-01-06,MAN,Buchband Richard,"SVP, GC",S - Sale,$96.02,-3500,2902,-55%,"-$336,070",,,,,MAN
34,D,2021-01-05 17:39:08,2021-01-01,MAN,Van Handel Michael J,Dir,M - OptEx,$0.00,1371,9724,+16%,+$0,,,,,MAN
