,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,A,2006-09-01 12:19:09,2006-08-25,MGRP,Lindemann Daryl R,"CFO, Secretary",D - Sale to issuer,$10.00,-91196,0,-100%,"-$911,960",,,,,MGRP
1,D,2006-08-30 17:35:56,2006-08-25,MGRP,Broling Fred W,Dir,D - Sale to issuer,$10.00,-177778,0,-100%,"-$1,777,780",,,,,MGRP
2,D,2006-08-29 17:54:41,2006-08-25,MGRP,Lindemann Daryl R,"CFO, Secretary",D - Sale to issuer,$10.00,-91196,0,-100%,"-$911,960",,,,,MGRP
3,D,2006-08-29 17:54:23,2006-08-25,MGRP,Harrison Rodney B,"VP of Finance, Treasurer",D - Sale to issuer,$10.00,-14532,0,-100%,"-$145,320",,,,,MGRP
4,,2006-08-29 16:09:42,2006-08-25,MGRP,Eastover Group LLC,10%,D - Sale to issuer,$10.00,-555678,0,-100%,"-$5,556,780",,,,,MGRP
5,,2006-08-29 16:09:42,2006-08-18,MGRP,Eastover Group LLC,10%,G - Gift,$0.00,-70000,0,-100%,-$0,,,,,MGRP
6,D,2006-08-29 16:09:16,2006-08-25,MGRP,Morton William D,"COB, CEO, Pres, 10%",D - Sale to issuer,$10.00,-675000,0,-100%,"-$6,750,000",,,,,MGRP
7,D,2006-08-29 16:09:16,2006-08-21,MGRP,Morton William D,"COB, CEO, Pres, 10%",G - Gift,$0.00,-28990,0,-100%,-$0,,,,,MGRP
8,D,2006-08-29 16:08:40,2006-08-25,MGRP,Mealy Mark W,"Dir, 10%",D - Sale to issuer,$10.00,-732584,0,-100%,"-$7,325,840",,,,,MGRP
9,D,2006-08-29 16:08:40,2006-08-18,MGRP,Mealy Mark W,"Dir, 10%",G - Gift,$0.00,-70000,0,-100%,-$0,,,,,MGRP
10,,2005-03-03 09:26:29,2005-03-01,MGRP,Lindemann Daryl R,SVP of Finance,M - OptEx,$0.15,33333,116196,+40%,"+$5,000",,,,,MGRP
11,,2005-03-03 09:25:39,2005-03-01,MGRP,Harrison Rodney B,VP of Finance,M - OptEx,$0.15,6666,14532,+85%,"+$1,000",,,,,MGRP
12,,2004-12-13 13:51:28,2004-12-09,MGRP,Harrison Rodney B,VP of Finance,M - OptEx,$0.15,6666,7866,+556%,"+$1,000",,,,,MGRP
13,D,2004-12-09 19:46:15,2004-03-29,MGRP,Mealy Mark W,"Dir, 10%",G - Gift,$0.00,-36000,1162584,-3%,-$0,,,,,MGRP
14,D,2004-12-09 19:46:15,2004-12-07,MGRP,Mealy Mark W,"Dir, 10%",M - OptEx,$0.21,38333,1162584,+3%,"+$8,083",,,,,MGRP
15,DM,2004-12-09 19:46:15,2004-12-06,MGRP,Mealy Mark W,"Dir, 10%",P - Purchase,$6.04,35000,1162584,+3%,"+$211,470",,,,,MGRP
16,,2004-12-06 16:47:34,2004-12-02,MGRP,Lindemann Daryl R,SVP of Finance,M - OptEx,$0.18,41666,82863,+101%,"+$7,708",,,,,MGRP
17,,2004-12-06 16:47:34,2004-12-02,MGRP,Lindemann Daryl R,SVP of Finance,S - Sale,$5.51,-20000,82863,-19%,"-$110,200",,,,,MGRP
18,,2004-10-05 10:47:33,2004-10-01,MGRP,Morton William D,"COB, CEO, Pres, 10%",S - Sale,$5.00,-30000,1253990,-2%,"-$150,000",,,,,MGRP
