,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2021-10-21,15.37,16.52,13.52,13.52,13.52,9664500,COCO
1,2021-10-22,13.99,14.65,13.79,13.95,13.95,1878300,COCO
2,2021-10-25,13.76,13.9,13.25,13.63,13.63,1294100,COCO
3,2021-10-26,13.5,14.09,13.431,13.77,13.77,647400,COCO
4,2021-10-27,13.55,14.15,13.5,13.57,13.57,576000,COCO
5,2021-10-28,13.58,13.73,13.0,13.25,13.25,760200,COCO
6,2021-10-29,13.15,13.53,13.02,13.5,13.5,529200,COCO
7,2021-11-01,13.59,13.71,13.01,13.31,13.31,598200,COCO
8,2021-11-02,13.22,13.72,13.08,13.7,13.7,472000,COCO
9,2021-11-03,13.79,14.18,13.54,14.05,14.05,414400,COCO
10,2021-11-04,14.05,14.192,13.62,13.87,13.87,387400,COCO
11,2021-11-05,13.79,14.07,13.55,13.63,13.63,370600,COCO
12,2021-11-08,13.59,14.04,13.52,13.97,13.97,410500,COCO
13,2021-11-09,13.84,13.98,13.7,13.8,13.8,230300,COCO
14,2021-11-10,13.69,13.97,13.582,13.83,13.83,224300,COCO
15,2021-11-11,13.76,14.01,13.55,13.66,13.66,440300,COCO
16,2021-11-12,13.77,14.86,13.77,14.5,14.5,716600,COCO
17,2021-11-15,15.23,18.610001,15.215,17.57,17.57,8663100,COCO
18,2021-11-16,17.309999,17.49,15.03,15.2,15.2,1444100,COCO
19,2021-11-17,15.31,17.25,15.3,16.700001,16.700001,1274100,COCO
20,2021-11-18,16.5,16.790001,14.59,15.11,15.11,964900,COCO
21,2021-11-19,15.08,16.059999,15.059,15.75,15.75,360400,COCO
22,2021-11-22,15.75,15.961,14.119,14.67,14.67,613700,COCO
23,2021-11-23,14.59,14.59,13.23,13.86,13.86,696400,COCO
24,2021-11-24,13.74,15.3,13.7,15.17,15.17,725000,COCO
25,2021-11-26,14.43,15.47,14.14,15.22,15.22,302900,COCO
26,2021-11-29,14.88,14.99,13.63,13.83,13.83,764000,COCO
27,2021-11-30,13.79,14.11,13.14,13.5,13.5,353800,COCO
28,2021-12-01,13.56,14.17,13.15,13.22,13.22,389800,COCO
29,2021-12-02,13.22,13.47,10.56,11.07,11.07,1899800,COCO
30,2021-12-03,11.31,11.33,10.61,11.07,11.07,1216900,COCO
31,2021-12-06,11.0,11.2,10.02,10.68,10.68,999100,COCO
32,2021-12-07,11.21,11.74,10.86,11.43,11.43,557500,COCO
33,2021-12-08,11.45,11.786,10.89,11.05,11.05,563800,COCO
34,2021-12-09,11.0,11.17,10.24,10.36,10.36,487000,COCO
35,2021-12-10,10.36,10.59,10.02,10.37,10.37,351100,COCO
36,2021-12-13,10.58,10.619,9.37,9.5,9.5,777800,COCO
37,2021-12-14,9.51,9.74,9.26,9.34,9.34,421800,COCO
38,2021-12-15,9.89,10.15,9.34,9.88,9.88,649100,COCO
39,2021-12-16,10.0,10.1,9.04,9.26,9.26,878700,COCO
40,2021-12-17,9.2,9.7,8.45,9.14,9.14,3386500,COCO
41,2021-12-20,9.18,10.06,9.01,9.97,9.97,930500,COCO
42,2021-12-21,9.97,10.955,9.97,10.9,10.9,907500,COCO
43,2021-12-22,10.84,10.85,10.39,10.53,10.53,427600,COCO
44,2021-12-23,10.5,11.4,10.386,11.33,11.33,656400,COCO
45,2021-12-27,11.39,11.68,10.84,11.23,11.23,812900,COCO
46,2021-12-28,11.16,11.49,10.93,11.42,11.42,275400,COCO
47,2021-12-29,11.44,11.92,11.0,11.65,11.65,367500,COCO
48,2021-12-30,11.64,12.0,11.41,11.45,11.45,345100,COCO
49,2021-12-31,11.43,11.5,10.95,11.17,11.17,343300,COCO
