,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2021-03-12,24.950001,26.440001,19.280001,25.290001,25.290001,3923600,RXDX
1,2021-03-15,26.75,28.33,24.059999,25.0,25.0,968600,RXDX
2,2021-03-16,25.23,25.235001,22.35,23.0,23.0,271700,RXDX
3,2021-03-17,23.35,23.49,22.0,22.5,22.5,256300,RXDX
4,2021-03-18,22.0,24.059999,20.777,21.129999,21.129999,247200,RXDX
5,2021-03-19,21.15,21.91,20.040001,21.190001,21.190001,159600,RXDX
6,2021-03-22,20.559999,22.389999,20.315001,21.700001,21.700001,78800,RXDX
7,2021-03-23,21.98,22.110001,20.982,21.42,21.42,81900,RXDX
8,2021-03-24,21.34,21.42,19.559999,19.6,19.6,62500,RXDX
9,2021-03-25,19.790001,19.790001,18.15,18.700001,18.700001,168200,RXDX
10,2021-03-26,18.76,19.98,17.780001,18.030001,18.030001,95300,RXDX
11,2021-03-29,18.469999,18.469999,16.110001,16.51,16.51,201500,RXDX
12,2021-03-30,16.68,17.219999,16.25,16.77,16.77,184200,RXDX
13,2021-03-31,16.950001,18.715,16.916,18.26,18.26,130600,RXDX
14,2021-04-01,18.139999,18.950001,17.555,18.18,18.18,154100,RXDX
15,2021-04-05,18.549999,19.459999,17.815001,19.08,19.08,173300,RXDX
16,2021-04-06,20.0,20.0,18.85,18.85,18.85,103800,RXDX
17,2021-04-07,19.24,19.4,18.41,19.4,19.4,141700,RXDX
18,2021-04-08,20.33,22.886999,20.049999,22.700001,22.700001,405900,RXDX
19,2021-04-09,23.68,23.73,22.701,22.91,22.91,166100,RXDX
20,2021-04-12,22.9,22.9,18.6,18.799999,18.799999,204300,RXDX
21,2021-04-13,18.85,22.530001,18.809999,21.280001,21.280001,211600,RXDX
22,2021-04-14,21.299999,22.889999,20.75,22.48,22.48,129500,RXDX
23,2021-04-15,23.0,24.559999,22.545,24.549999,24.549999,132000,RXDX
24,2021-04-16,24.25,26.24,23.030001,25.99,25.99,85700,RXDX
25,2021-04-19,25.620001,27.889999,24.5,27.799999,27.799999,98400,RXDX
26,2021-04-20,27.76,27.889999,25.712,26.4,26.4,90900,RXDX
27,2021-04-21,26.09,29.495001,24.629999,28.690001,28.690001,232000,RXDX
28,2021-04-22,28.59,30.620001,27.17,27.76,27.76,130200,RXDX
29,2021-04-23,27.6,28.469999,25.110001,25.41,25.41,119000,RXDX
30,2021-04-26,25.42,26.690001,25.01,25.25,25.25,139600,RXDX
31,2021-04-27,25.52,25.52,24.290001,25.190001,25.190001,71600,RXDX
32,2021-04-28,25.16,25.34,24.15,24.389999,24.389999,59900,RXDX
33,2021-04-29,24.18,24.780001,23.6,24.0,24.0,50500,RXDX
34,2021-04-30,24.049999,25.4,23.73,24.57,24.57,95100,RXDX
35,2021-05-03,24.5,25.25,23.08,23.290001,23.290001,53900,RXDX
36,2021-05-04,22.85,23.235001,22.309999,22.879999,22.879999,69700,RXDX
37,2021-05-05,23.51,23.51,22.290001,22.389999,22.389999,81100,RXDX
38,2021-05-06,22.1,22.23,19.530001,19.959999,19.959999,84700,RXDX
39,2021-05-07,19.790001,20.950001,19.790001,20.09,20.09,113200,RXDX
40,2021-05-10,19.99,20.690001,18.52,18.85,18.85,84200,RXDX
41,2021-05-11,18.51,19.219999,18.02,18.48,18.48,62200,RXDX
42,2021-05-12,18.07,18.264999,17.68,17.790001,17.790001,74100,RXDX
43,2021-05-13,18.15,18.200001,16.67,16.799999,16.799999,87800,RXDX
44,2021-05-14,16.76,17.690001,16.65,16.82,16.82,31000,RXDX
45,2021-05-17,17.25,21.17,17.25,20.48,20.48,163900,RXDX
46,2021-05-18,23.15,27.799999,18.530001,19.370001,19.370001,1250700,RXDX
47,2021-05-19,17.6,19.34,17.6,19.1,19.1,102100,RXDX
48,2021-05-20,19.059999,20.815001,18.16,20.51,20.51,75600,RXDX
49,2021-05-21,20.5,20.5,19.0,19.540001,19.540001,69000,RXDX
50,2021-05-24,19.76,20.452,18.559999,18.76,18.76,59800,RXDX
51,2021-05-25,18.98,19.559999,18.66,19.1,19.1,120300,RXDX
52,2021-05-26,19.059999,19.48,18.889999,19.26,19.26,118800,RXDX
53,2021-05-27,19.18,20.16,18.995001,20.16,20.16,33000,RXDX
54,2021-05-28,20.34,23.75,20.264999,23.290001,23.290001,138000,RXDX
55,2021-06-01,23.379999,24.139999,22.799999,23.09,23.09,187100,RXDX
56,2021-06-02,23.08,24.030001,22.370001,23.1,23.1,51800,RXDX
57,2021-06-03,22.809999,23.809999,21.379999,23.299999,23.299999,87200,RXDX
58,2021-06-04,23.65,23.65,22.719999,23.110001,23.110001,92700,RXDX
59,2021-06-07,23.43,23.969999,21.809999,21.969999,21.969999,136500,RXDX
60,2021-06-08,22.16,22.375,21.0,21.700001,21.700001,82800,RXDX
61,2021-06-09,21.780001,21.959999,20.790001,21.030001,21.030001,176000,RXDX
62,2021-06-10,21.01,21.59,20.766001,21.26,21.26,64100,RXDX
63,2021-06-11,21.525,21.559999,20.799999,21.43,21.43,102400,RXDX
64,2021-06-14,21.4,24.535,21.103001,23.5,23.5,365900,RXDX
65,2021-06-15,23.42,27.049999,22.945,27.0,27.0,232500,RXDX
66,2021-06-16,27.15,30.639999,27.040001,29.65,29.65,407100,RXDX
67,2021-06-17,28.84,30.0,26.370001,26.610001,26.610001,349000,RXDX
68,2021-06-18,26.629999,28.004999,25.360001,25.530001,25.530001,649000,RXDX
69,2021-06-21,26.16,27.479,25.5,25.780001,25.780001,181600,RXDX
70,2021-06-22,25.51,26.395,21.555,22.139999,22.139999,201000,RXDX
71,2021-06-23,22.219999,23.280001,20.25,20.92,20.92,201700,RXDX
72,2021-06-24,21.290001,21.91,20.65,20.870001,20.870001,129200,RXDX
73,2021-06-25,20.85,22.48,20.666,21.629999,21.629999,1484100,RXDX
74,2021-06-28,21.65,23.83,21.559999,23.48,23.48,142900,RXDX
75,2021-06-29,23.379999,23.860001,22.299999,23.1,23.1,158600,RXDX
76,2021-06-30,23.049999,25.68,22.139999,24.559999,24.559999,443800,RXDX
77,2021-07-01,24.469999,27.110001,24.469999,26.9,26.9,184600,RXDX
78,2021-07-02,26.889999,27.59,25.709999,26.959999,26.959999,129100,RXDX
79,2021-07-06,26.93,27.120001,25.27,25.75,25.75,83500,RXDX
80,2021-07-07,25.9,27.030001,24.42,25.32,25.32,51300,RXDX
81,2021-07-08,24.940001,26.66,24.940001,26.23,26.23,146100,RXDX
82,2021-07-09,26.49,27.729,25.459999,26.84,26.84,119200,RXDX
83,2021-07-12,26.42,26.726999,25.360001,26.02,26.02,105000,RXDX
84,2021-07-13,25.76,27.67,25.440001,26.49,26.49,105400,RXDX
85,2021-07-14,26.77,26.77,20.700001,20.889999,20.889999,198200,RXDX
86,2021-07-15,21.51,22.391001,20.459999,21.08,21.08,185600,RXDX
87,2021-07-16,21.42,21.77,20.780001,21.290001,21.290001,123300,RXDX
88,2021-07-19,20.82,21.559999,20.82,21.48,21.48,74100,RXDX
89,2021-07-20,20.820999,22.639999,20.820999,22.200001,22.200001,149000,RXDX
90,2021-07-21,22.48,22.48,21.02,22.07,22.07,50200,RXDX
91,2021-07-22,22.0,23.030001,21.01,22.379999,22.379999,92000,RXDX
92,2021-07-23,22.57,22.57,21.27,21.549999,21.549999,60100,RXDX
93,2021-07-26,21.610001,21.889999,21.27,21.59,21.59,66600,RXDX
94,2021-07-27,21.66,21.66,20.799999,21.049999,21.049999,52500,RXDX
95,2021-07-28,21.07,21.6,19.790001,21.07,21.07,87600,RXDX
96,2021-07-29,21.139999,22.25,21.01,22.01,22.01,70300,RXDX
97,2021-07-30,22.01,22.360001,19.813,20.969999,20.969999,97500,RXDX
