,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-02-14 16:23:15,2022-02-11,XFOR,Mostafa Adam S.,CFO,S - Sale,0.0,-27721,93224,-23%,-0.0,,,,,XFOR
1,,2022-02-14 16:20:24,2022-02-11,XFOR,Ragan Paula,"Pres, CEO",S - Sale,0.0,-21695,447309,-5%,-0.0,,,,,XFOR
2,,2021-08-19 16:26:43,2021-08-17,XFOR,Mostafa Adam S.,CFO,S - Sale,5.1,-10832,120945,-8%,-55243.0,,,,,XFOR
3,,2021-08-19 16:26:22,2021-08-17,XFOR,Meisner Derek M,GC,S - Sale,5.1,-8332,72730,-10%,-42493.0,,,,,XFOR
4,,2021-08-19 16:26:01,2021-08-17,XFOR,Ragan Paula,"Pres, CEO",S - Sale,5.1,-13448,469004,-3%,-68585.0,,,,,XFOR
5,,2021-07-16 16:01:34,2021-07-15,XFOR,Ragan Paula,"Pres, CEO",S - Sale,5.78,-13448,482452,-3%,-77729.0,,,,,XFOR
6,,2021-07-01 08:18:29,2021-06-30,XFOR,Mostafa Adam S.,CFO,S - Sale,6.64,-2641,131777,-2%,-17536.0,,,,,XFOR
7,,2021-06-25 16:03:59,2021-06-24,XFOR,Mostafa Adam S.,CFO,S - Sale,7.01,-5417,134418,-4%,-37973.0,,,,,XFOR
8,,2021-06-25 16:03:25,2021-06-24,XFOR,Meisner Derek M,GC,S - Sale,7.0,-4166,81062,-5%,-29162.0,,,,,XFOR
9,,2021-06-17 17:13:30,2021-06-15,XFOR,Meisner Derek M,GC,S - Sale,7.84,-4166,72728,-5%,-32661.0,,,,,XFOR
10,,2021-06-17 17:13:29,2021-06-15,XFOR,Mostafa Adam S.,CFO,S - Sale,7.84,-5417,123585,-4%,-42469.0,,,,,XFOR
11,,2021-06-02 16:51:35,2021-06-02,XFOR,Ragan Paula,"Pres, CEO",S - Sale,9.5,-2400,406248,-1%,-22800.0,,,,,XFOR
12,,2021-06-02 16:13:31,2021-06-01,XFOR,Ragan Paula,"Pres, CEO",S - Sale,9.41,-4104,408648,-1%,-38619.0,,,,,XFOR
13,,2021-05-04 16:11:19,2021-05-03,XFOR,Ragan Paula,"Pres, CEO",S - Sale,8.33,-2400,412752,-1%,-19992.0,,,,,XFOR
14,,2021-04-07 09:20:38,2021-04-05,XFOR,Ragan Paula,"Pres, CEO",S - Sale,9.17,-2400,415152,-1%,-22008.0,,,,,XFOR
15,,2021-03-02 19:05:24,2021-03-02,XFOR,Ragan Paula,"Pres, CEO",S - Sale,9.74,-2400,272923,-1%,-23376.0,,,,,XFOR
16,,2021-02-03 17:10:17,2021-02-02,XFOR,Ragan Paula,"Pres, CEO",S - Sale,7.88,-2400,275323,-1%,-18912.0,,,,,XFOR
17,,2021-01-06 08:25:07,2021-01-05,XFOR,Ragan Paula,"Pres, CEO",S - Sale,7.0,-2400,277723,-1%,-16800.0,,,,,XFOR
18,,2020-12-28 16:27:38,2020-12-23,XFOR,Ragan Paula,"Pres, CEO",S - Sale,7.0,-4800,280123,-2%,-33600.0,,,,,XFOR
19,,2020-10-06 08:53:56,2020-10-05,XFOR,Ragan Paula,"Pres, CEO",S - Sale,7.0,-1797,284923,-1%,-12579.0,,,,,XFOR
20,,2020-10-05 16:38:48,2020-10-02,XFOR,Ragan Paula,"Pres, CEO",S - Sale,7.0,-603,286720,0%,-4221.0,,,,,XFOR
21,,2020-09-22 16:11:28,2020-09-21,XFOR,Mostafa Adam S.,CFO,S - Sale,7.08,-10834,29589,-27%,-76705.0,,,,,XFOR
22,,2020-09-10 08:36:45,2020-09-09,XFOR,Skerlj Renato,Chief Scientific Officer,S - Sale,8.05,-5834,42076,-12%,-46964.0,,,,,XFOR
23,,2020-09-10 08:35:44,2020-09-09,XFOR,Ragan Paula,"Pres, CEO",S - Sale,8.04,-8840,287323,-3%,-71074.0,,,,,XFOR
24,,2020-09-10 08:31:25,2020-09-09,XFOR,Meisner Derek M,GC,S - Sale,8.05,-8334,16666,-33%,-67089.0,,,,,XFOR
25,,2020-09-03 17:15:01,2020-09-02,XFOR,Ragan Paula,"Pres, CEO",S - Sale,7.99,-2400,296163,-1%,-19176.0,,,,,XFOR
26,,2020-08-04 16:33:16,2020-08-03,XFOR,Ragan Paula,"Pres, CEO",S - Sale,7.45,-2400,208912,-1%,-17880.0,,,,,XFOR
27,,2020-07-06 16:24:19,2020-07-02,XFOR,Ragan Paula,"Pres, CEO",S - Sale,9.05,-2400,211312,-1%,-21720.0,,,,,XFOR
28,,2020-07-01 16:10:58,2020-06-30,XFOR,Mostafa Adam S.,See Remarks,S - Sale,9.04,-1725,7923,-18%,-15594.0,,,,,XFOR
29,M,2020-06-03 16:46:37,2020-06-01,XFOR,Ragan Paula,"Pres, CEO",S - Sale,8.78,-16382,213712,-7%,-143851.0,,,,,XFOR
30,,2020-05-05 17:25:38,2020-05-04,XFOR,Ragan Paula,"Pres, CEO",S - Sale,8.92,-2400,230094,-1%,-21408.0,,,,,XFOR
31,,2020-04-03 15:59:22,2020-04-02,XFOR,Ragan Paula,"Pres, CEO",S - Sale,8.4,-2400,232494,-1%,-20160.0,,,,,XFOR
32,,2020-03-03 16:59:18,2020-03-02,XFOR,Ragan Paula,"Pres, CEO",S - Sale,10.64,-2400,234894,-1%,-25536.0,,,,,XFOR
