,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-01-24 16:30:32,2022-01-18,BBIG,McFillin Phillip Anthony,Dir,S - Sale,5.01,-100000,329756,-23%,-500500.0,,,,,BBIG
1,M,2021-10-25 17:12:57,2021-08-24,BBIG,McFillin Phillip Anthony,Dir,A - Grant,6.17,300000,429756,+231%,1850000.0,,,,,BBIG
2,,2021-02-16 16:45:35,2021-02-10,BBIG,Ferguson Christopher,"COB, CEO, 10%",A - Grant,1.76,150000,1945950,+8%,264000.0,,,,,BBIG
3,,2021-02-16 16:16:04,2021-02-10,BBIG,Vroman Brett Earl James,CFO,A - Grant,1.76,150000,203000,+283%,264000.0,,,,,BBIG
4,,2020-09-21 08:00:23,2020-09-08,EDNT,O'Donnell Kevin J,Dir,P - Purchase,1.88,2000,52900,+4%,3750.0,,,,,BBIG
5,M,2020-08-27 13:38:23,2020-08-26,EDNT,Ferguson Christopher,"COB, CEO, 10%",P - Purchase,2.13,16000,1795950,+1%,34019.0,,,,,BBIG
6,,2020-02-13 13:45:27,2019-11-15,EDNT,Taylor Toper,Dir,A - Grant,0.0,60000,60000,New,0.0,,,,,BBIG
7,,2020-02-12 16:10:47,2019-11-15,EDNT,Foreman Louis,Dir,A - Grant,0.0,50000,372288,+16%,0.0,,,,,BBIG
8,,2020-02-12 16:09:25,2019-11-15,EDNT,O'Donnell Kevin J,Dir,A - Grant,0.0,50000,50900,>999%,0.0,,,,,BBIG
9,,2020-02-12 16:08:11,2019-11-15,EDNT,Jennings Frank D,Dir,A - Grant,0.0,50000,51300,>999%,0.0,,,,,BBIG
10,M,2020-01-29 17:30:31,2018-04-30,EDNT,Bennett Bruce Randell,Chief Product Officer,P - Purchase,5.0,3500,3500,New,17500.0,,,,,BBIG
11,,2019-12-06 15:20:54,2019-12-05,EDNT,Ferguson Christopher,"COB, CEO, 10%",P - Purchase,1.49,5000,1779950,0%,7450.0,,,,,BBIG
12,,2019-11-26 08:36:43,2019-11-25,EDNT,Ferguson Kevin James,"Pres, Treasurer",P - Purchase,1.82,1000,13000,+8%,1824.0,,,,,BBIG
13,,2019-11-26 08:36:21,2019-11-25,EDNT,Ferguson Thomas S.,10%,P - Purchase,1.82,1000,13000,+8%,1824.0,,,,,BBIG
14,,2019-11-26 08:35:08,2019-11-25,EDNT,Ferguson Christopher,"COB, CEO, 10%",P - Purchase,1.82,1000,13000,+8%,1824.0,,,,,BBIG
15,,2019-11-26 08:32:00,2019-11-25,EDNT,Ferguson Stuart J.,10%,P - Purchase,1.82,1000,13000,+8%,1824.0,,,,,BBIG
16,M,2019-05-28 16:46:09,2018-08-20,EDNT,Ferguson Thomas S.,10%,P - Purchase,3.54,12000,312000,+4%,42493.0,,,,,BBIG
17,M,2019-05-28 16:44:51,2018-07-03,EDNT,Ferguson Stuart J.,10%,P - Purchase,3.59,12400,312500,+4%,44493.0,,,,,BBIG
18,,2019-05-28 16:43:42,2018-07-03,EDNT,Ferguson Lelainya D.,10%,P - Purchase,5.0,2250,1455750,0%,11250.0,,,,,BBIG
19,,2019-05-28 16:42:24,2018-05-08,EDNT,Marchese John P.,Dir,P - Purchase,5.0,2000,2000,New,10000.0,,,,,BBIG
20,M,2019-05-24 20:04:59,2018-07-03,EDNT,Ferguson Kevin James,"Pres, Treasurer",P - Purchase,3.59,12400,312500,+4%,44493.0,,,,,BBIG
21,D,2019-05-24 20:04:26,2018-05-08,EDNT,Anderson Philip J,CFO,P - Purchase,5.0,3000,3000,New,15000.0,,,,,BBIG
22,,2019-05-24 20:03:57,2018-07-03,EDNT,Jennings Frank D,Dir,P - Purchase,5.0,700,1300,+117%,3500.0,,,,,BBIG
23,,2019-05-24 20:03:25,2019-05-22,EDNT,Foreman Louis,Dir,P - Purchase,3.08,3000,322288,+1%,9232.0,,,,,BBIG
24,M,2019-05-23 09:16:38,2018-07-03,EDNT,Ferguson Christopher,CEO,P - Purchase,3.39,14250,1773950,+1%,48296.0,,,,,BBIG
25,M,2018-08-22 15:30:11,2018-08-20,XSPL,Ferguson Christopher,CEO,P - Purchase,5.18,6200,3560700,0%,32104.0,,,,,BBIG
