,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2021-01-25 18:51:36,2020-08-03,RKDA,Plavan Matthew T,CEO,P - Purchase,3.16,585,14285,+4%,1849.0,,,,,RKDA
1,D,2021-01-25 18:47:58,2020-08-03,RKDA,Shultz Randall,CTO,P - Purchase,3.16,700,13000,+6%,2212.0,,,,,RKDA
2,D,2021-01-25 18:43:50,2020-08-03,RKDA,Haley Pamela,CFO,P - Purchase,3.16,700,2638,+36%,2212.0,,,,,RKDA
3,D,2020-02-04 16:14:26,2020-02-03,RKDA,Haley Pamela,CFO,P - Purchase,1.72,700,1938,+57%,1204.0,,,,,RKDA
4,D,2020-02-04 16:13:37,2020-02-03,RKDA,Reiter Sarah,Chief Commercial Officer,P - Purchase,1.72,700,3800,+23%,1204.0,,,,,RKDA
5,D,2020-02-04 16:11:21,2020-02-03,RKDA,Plavan Matthew T,CEO,P - Purchase,1.72,700,13700,+5%,1204.0,,,,,RKDA
6,,2019-12-23 16:50:01,2019-12-23,RKDA,Reiter Sarah,Chief Commercial Officer,P - Purchase,5.95,900,3100,+41%,5355.0,,,,,RKDA
7,,2019-11-20 09:00:11,2019-11-19,RKDA,Reiter Sarah,Chief Commercial Officer,P - Purchase,4.52,1000,2200,+83%,4520.0,,,,,RKDA
8,,2019-11-19 10:50:54,2019-11-18,RKDA,Murray Lilian Shackelford,Dir,P - Purchase,4.25,5000,8524,+142%,21250.0,,,,,RKDA
9,,2019-11-18 13:32:26,2019-11-14,RKDA,Plavan Matthew T,CEO,P - Purchase,4.08,1000,13000,+8%,4080.0,,,,,RKDA
10,,2019-09-23 19:18:40,2019-09-23,RKDA,Plavan Matthew T,CEO,P - Purchase,5.25,2000,12000,+20%,10500.0,,,,,RKDA
11,,2019-09-17 19:54:26,2019-09-17,RKDA,Comcowich Kevin,Dir,P - Purchase,5.88,5000,20000,+33%,29388.0,,,,,RKDA
12,,2019-09-10 18:24:24,2019-09-10,RKDA,Plavan Matthew T,CEO,P - Purchase,6.51,2000,10000,+25%,13014.0,,,,,RKDA
13,,2019-09-10 18:02:46,2019-09-10,RKDA,Reiter Sarah,Chief Commercial Officer,P - Purchase,6.48,1200,1200,New,7776.0,,,,,RKDA
14,,2019-09-10 17:57:55,2019-09-10,RKDA,Comcowich Kevin,Dir,P - Purchase,6.49,15000,15000,New,97333.0,,,,,RKDA
15,AM,2019-08-28 13:01:43,2019-08-26,RKDA,Plavan Matthew T,CFO,P - Purchase,8.73,8000,8000,New,69860.0,,,,,RKDA
