,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2021-12-30 18:54:42,2021-12-28,MARA,Okamoto Merrick D,Exec COB,S - Sale+OE,37.02,-83333,5486480,-1%,-3084988.0,,,,,MARA
1,D,2021-04-14 06:15:10,2021-02-12,MARA,Thiel Frederick G,Dir,S - Sale+OE,39.19,-2000,76436,-3%,-78380.0,,,,,MARA
2,DM,2021-04-13 11:49:39,2021-02-12,MARA,Berg Michael Carroll,Dir,S - Sale+OE,42.88,-20000,56312,-26%,-857600.0,,,,,MARA
3,D,2021-04-12 12:30:16,2021-02-16,MARA,Crawford James,COO,S - Sale+OE,43.1,-25000,200036,-11%,-1077500.0,,,,,MARA
4,D,2021-04-12 09:23:25,2021-02-18,MARA,Benz Peter,Dir,S - Sale+OE,46.4,-30000,43060,-41%,-1392000.0,,,,,MARA
5,D,2021-04-07 11:11:13,2021-04-05,MARA,Salzman Simeon,CFO,S - Sale+OE,53.38,-15000,74366,-17%,-800700.0,,,,,MARA
6,D,2021-02-19 17:30:10,2021-02-18,MARA,Okamoto Merrick D,CEO,S - Sale+OE,48.65,-700000,3824659,-15%,-34055000.0,,,,,MARA
7,D,2021-01-11 06:01:16,2021-01-07,MARA,Okamoto Merrick D,CEO,S - Sale+OE,20.51,-632000,479888,-57%,-12962320.0,,,,,MARA
8,,2020-12-17 19:43:09,2020-12-15,MARA,Rudolph Michael,Dir,S - Sale,6.4,-3000,5146,-37%,-19190.0,,,,,MARA
9,,2020-12-04 16:30:34,2020-11-30,MARA,Rudolph Michael,Dir,S - Sale,6.15,-3000,8146,-27%,-18450.0,,,,,MARA
10,D,2020-12-03 16:30:40,2020-12-01,MARA,Berg Michael Carroll,Dir,S - Sale+OE,6.15,-7500,12481,-38%,-46092.0,,,,,MARA
11,D,2020-12-02 21:21:21,2020-11-30,MARA,Rudolph Michael,Dir,S - Sale+OE,6.09,-9000,11146,-45%,-54821.0,,,,,MARA
12,D,2020-12-01 20:44:42,2020-12-01,MARA,Lieberman David Philip,CFO,S - Sale+OE,6.15,-7500,137574,-5%,-46092.0,,,,,MARA
13,D,2019-11-22 12:26:19,2019-11-22,MARA,Okamoto Merrick D,CEO,P - Purchase,0.99,25000,53875,+87%,24735.0,,,,,MARA
14,D,2019-09-03 09:42:58,2019-08-30,MARA,Okamoto Merrick D,CEO,P - Purchase,1.56,5000,28875,+21%,7807.0,,,,,MARA
15,D,2019-08-30 12:35:19,2019-08-29,MARA,Okamoto Merrick D,CEO,P - Purchase,1.61,2000,23875,+9%,3212.0,,,,,MARA
