,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2021-09-16 16:36:31,2021-09-14,TUEM,Baumann William,"EVP, CIO",P - Purchase,1.71,100000,100000,New,171000.0,,,,,TUEM
1,,2021-09-16 16:02:58,2021-09-15,TUEM,Hand Fred,CEO,P - Purchase,1.65,227224,3507824,+7%,374920.0,,,,,TUEM
2,,2021-09-16 09:32:29,2021-09-15,TUEM,Metcalf Paul,CMO,P - Purchase,1.68,100000,1162052,+9%,168000.0,,,,,TUEM
3,,2021-09-16 08:30:32,2021-09-14,TUEM,Katz Marc,COO,P - Purchase,1.71,150000,1884104,+9%,256725.0,,,,,TUEM
4,M,2021-09-15 16:02:03,2021-09-13,TUEM,Hand Fred,CEO,P - Purchase,1.76,511387,3280618,+18%,900819.0,,,,,TUEM
5,M,2021-06-16 20:06:13,2021-06-14,TUES,Becker Steven R,See Remarks,S - Sale,4.94,-473506,2487362,-16%,-2337278.0,,,,,TUEM
6,D,2021-02-11 21:13:41,2021-02-09,TUEM,Lewis John Hartnett,"Dir, 10%",P - Purchase,1.1,954840,20960438,+5%,1050324.0,,,,,TUEM
7,M,2019-11-12 16:05:55,2019-11-07,TUES,Slone Reuben E,Dir,P - Purchase,1.54,65000,78084,+497%,100120.0,,,,,TUEM
8,D,2019-09-03 17:55:29,2019-08-30,TUES,Becker Steven R,CEO,P - Purchase,1.44,90000,1750325,+5%,129411.0,,,,,TUEM
9,M,2019-09-03 17:04:44,2019-08-29,TUES,Burman Terry Lee,Dir,P - Purchase,1.4,80000,348732,+30%,112295.0,,,,,TUEM
10,,2019-08-30 12:20:27,2019-08-29,TUES,Gluck Barry S,Dir,P - Purchase,1.42,10000,63668,+19%,14234.0,,,,,TUEM
11,DM,2019-06-07 11:38:23,2019-06-05,TUES,Becker Steven R,CEO,P - Purchase,1.5,30000,1660325,+2%,45000.0,,,,,TUEM
12,D,2019-05-31 12:53:18,2019-05-29,TUES,Becker Steven R,CEO,P - Purchase,1.51,19030,1630325,+1%,28735.0,,,,,TUEM
13,D,2019-05-29 12:26:03,2019-05-24,TUES,Becker Steven R,CEO,P - Purchase,1.62,25000,1611295,+2%,40500.0,,,,,TUEM
14,D,2019-05-22 15:28:43,2019-05-20,TUES,Becker Steven R,CEO,P - Purchase,1.65,5000,1586295,0%,8250.0,,,,,TUEM
15,DM,2019-05-13 16:02:09,2019-05-09,TUES,Becker Steven R,CEO,P - Purchase,1.74,190100,1581295,+14%,330274.0,,,,,TUEM
16,,2018-09-24 13:00:42,2018-09-21,TUES,Hixon Phillip D.,"EVP, Store Operations",S - Sale,3.0,-967,92086,-1%,-2901.0,,,,,TUEM
17,,2018-09-10 11:18:46,2018-09-06,TUES,Byrd-Rohleder Belinda J.,SVP - General Merchandising,S - Sale,3.0,-641,39888,-2%,-1923.0,,,,,TUEM
18,,2018-09-06 17:18:11,2018-09-04,TUES,Hixon Phillip D.,"EVP, Store Operations",S - Sale,2.97,-1557,93053,-2%,-4624.0,,,,,TUEM
