,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2022-01-14 15:22:47,2021-12-04,KERN,Thompson Cecil Ray Jr,"COO, 10%",P - Purchase,223.0,1120,54081,+2%,2500.0,,,,,KERN
1,M,2021-12-17 18:35:24,2021-12-14,KERN,Kane Matthew Ryan,Dir,P - Purchase,200.0,200000,604567,+49%,399199.0,,,,,KERN
2,D,2021-10-13 17:44:37,2021-10-08,KERN,Kane Matthew Ryan,Dir,P - Purchase,270.0,11299,406831,+3%,30507.0,,,,,KERN
3,,2021-10-08 16:09:42,2021-10-06,KERN,Kane Matthew Ryan,Dir,P - Purchase,270.0,128160,393678,+48%,346032.0,,,,,KERN
4,,2020-06-17 16:57:10,2020-06-16,KERN,Billingsley Jessica,"COB, CEO, 10%",S - Sale,1005.0,-110000,1155802,-9%,-1105585.0,,,,,KERN
5,M,2020-06-10 17:27:01,2020-06-08,KERN,Billingsley Jessica,"COB, CEO, 10%",S - Sale,1049.0,-70000,1265802,-5%,-734487.0,,,,,KERN
6,,2020-05-27 13:18:11,2020-05-26,KERN,Amy A. Poinsett Revocable Living Trust,10%,S - Sale,1000.0,-10000,1325802,-1%,-100000.0,,,,,KERN
