,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-02-08 16:43:03,2022-02-07,RCKT,Shah Gaurav,CEO,P - Purchase,1734.0,22000,923877,+2%,381513.0,,,,,RCKT
1,M,2021-06-21 16:52:12,2021-06-16,RCKT,Makker Gotham,Dir,S - Sale,4685.0,-35085,1296401,-3%,-1643693.0,,,,,RCKT
2,D,2021-05-13 19:49:36,2021-05-11,RCKT,"Rtw Investments, LP","Dir, 10%",S - Sale+OE,4003.0,-725000,15460119,-4%,-29023490.0,,,,,RCKT
3,,2020-12-30 16:50:30,2020-12-28,RCKT,Patel Kinnari,COO,S - Sale,5672.0,-16761,196579,-8%,-950745.0,,,,,RCKT
4,,2020-12-14 19:19:01,2020-12-10,RCKT,"Rtw Investments, LP","Dir, 10%",P - Purchase,5600.0,247720,17530044,+1%,13872320.0,,,,,RCKT
5,,2020-03-19 19:56:20,2020-03-18,RCKT,Patel Kinnari,COO,P - Purchase,950.0,1000,213340,0%,9500.0,,,,,RCKT
6,,2019-12-12 15:43:40,2019-12-10,RCKT,"Rtw Investments, LP","Dir, 10%",P - Purchase,2225.0,225000,17282324,+1%,5006250.0,,,,,RCKT
7,,2019-04-18 16:14:34,2019-04-16,RCKT,"Rtw Investments, LP","Dir, 10%",P - Purchase,1750.0,550005,17057324,+3%,9625088.0,,,,,RCKT
8,M,2019-03-05 19:23:32,2019-03-01,RCKT,Shah Gaurav,See Remarks,S - Sale,1717.0,-74900,686950,-10%,-1286272.0,,,,,RCKT
9,,2018-12-14 21:06:35,2018-12-13,RCKT,Southwell David P,Dir,S - Sale,1519.0,-38768,95160,-29%,-588886.0,,,,,RCKT
10,DM,2018-12-10 17:03:38,2018-12-06,RCKT,Southwell David P,Dir,S - Sale+OE,1513.0,-57732,133928,-30%,-873458.0,,,,,RCKT
11,,2018-12-10 17:01:04,2018-12-06,RCKT,Patel Kinnari,COO,P - Purchase,1498.0,5675,100602,+6%,85012.0,,,,,RCKT
12,,2018-08-03 19:03:56,2018-08-01,RCKT,Yalamanchi Naveen,Dir,S - Sale,2200.0,-637,113641,-1%,-14014.0,,,,,RCKT
