,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,D,2019-01-15 18:20:23,2019-01-11,INTX,"General Catalyst Group Ix, L.P.",10%,P - Purchase,338.0,13443400,0,-100%,45438692.0,,,,,INTX
1,,2019-01-09 21:07:53,2019-01-07,INTX,Isubscribed Inc.,"See Remarks, 10%",P - Purchase,368.0,13435388,13435388,New,49442228.0,,,,,INTX
2,,2019-01-09 19:04:21,2019-01-07,INTX,"Wc Sacd One Parent, Inc.","See footnote (1), 10%",P - Purchase,368.0,13435388,13435388,New,49442228.0,,,,,INTX
3,M,2018-11-02 18:12:38,2018-10-31,INTX,"Osmium Partners, LLC",10%,S - Sale,352.0,-2298614,621922,-79%,-8089238.0,,,,,INTX
4,,2018-09-18 15:22:55,2018-09-17,INTX,Stanfield Michael R,"COB, Founder",S - Sale,170.0,-5000,1576208,0%,-8500.0,,,,,INTX
5,,2018-09-11 12:54:43,2018-09-11,INTX,Stanfield Michael R,"COB, Founder",S - Sale,168.0,-5000,1581208,0%,-8400.0,,,,,INTX
6,,2018-09-05 18:27:43,2018-09-04,INTX,Stanfield Michael R,"COB, Founder",S - Sale,167.0,-5000,1586208,0%,-8350.0,,,,,INTX
7,,2018-08-28 18:20:11,2018-08-27,INTX,Stanfield Michael R,"COB, Founder",S - Sale,164.0,-5000,1591208,0%,-8200.0,,,,,INTX
8,,2018-08-21 19:58:05,2018-08-20,INTX,Stanfield Michael R,"COB, Founder",S - Sale,136.0,-5000,1596208,0%,-6800.0,,,,,INTX
9,,2018-08-14 20:47:18,2018-08-13,INTX,Stanfield Michael R,"COB, Founder",S - Sale,150.0,-5000,1601208,0%,-7500.0,,,,,INTX
10,,2018-08-07 18:24:14,2018-08-07,INTX,Stanfield Michael R,"COB, Founder",S - Sale,173.0,-5000,1606208,0%,-8650.0,,,,,INTX
11,,2018-07-31 18:34:25,2018-07-30,INTX,Stanfield Michael R,"COB, Founder",S - Sale,170.0,-5000,1611208,0%,-8500.0,,,,,INTX
12,,2018-07-24 20:15:45,2018-07-23,INTX,Stanfield Michael R,"COB, Founder",S - Sale,176.0,-5000,1616208,0%,-8800.0,,,,,INTX
13,,2018-07-16 18:52:26,2018-07-16,INTX,Stanfield Michael R,"COB, Founder",S - Sale,170.0,-5000,1621208,0%,-8500.0,,,,,INTX
14,,2018-07-10 19:29:31,2018-07-09,INTX,Stanfield Michael R,"COB, Founder",S - Sale,171.0,-5000,1626208,0%,-8550.0,,,,,INTX
15,,2018-07-05 20:01:48,2018-07-02,INTX,Stanfield Michael R,"COB, Founder",S - Sale,199.0,-5000,1631208,0%,-9950.0,,,,,INTX
16,,2018-06-27 12:18:52,2018-06-25,INTX,Stanfield Michael R,"COB, Founder",S - Sale,209.0,-5000,1636208,0%,-10450.0,,,,,INTX
17,,2018-06-19 17:12:27,2018-06-18,INTX,Stanfield Michael R,"COB, Founder",S - Sale,227.0,-5000,1641208,0%,-11350.0,,,,,INTX
18,,2018-06-12 17:33:12,2018-06-11,INTX,Stanfield Michael R,"COB, Founder",S - Sale,216.0,-5000,1646208,0%,-10800.0,,,,,INTX
19,,2018-06-05 14:55:39,2018-06-04,INTX,Stanfield Michael R,"COB, Founder",S - Sale,215.0,-5000,1651208,0%,-10750.0,,,,,INTX
20,,2018-05-30 13:11:24,2018-05-29,INTX,Stanfield Michael R,"COB, Founder",S - Sale,238.0,-5000,1656208,0%,-11900.0,,,,,INTX
21,,2018-05-22 17:32:27,2018-05-21,INTX,Stanfield Michael R,"COB, Founder",S - Sale,205.0,-5000,1661208,0%,-10250.0,,,,,INTX
22,,2018-05-21 16:40:37,2018-05-17,INTX,Roets Johan,Dir,S - Sale,201.0,-46180,9240,-83%,-92822.0,,,,,INTX
23,M,2018-05-17 16:10:28,2018-05-15,INTX,Roets Johan,Dir,S - Sale,207.0,-74813,55420,-57%,-154606.0,,,,,INTX
24,,2018-05-15 13:15:26,2018-05-14,INTX,Stanfield Michael R,"COB, Founder",S - Sale,231.0,-5000,1666208,0%,-11550.0,,,,,INTX
25,,2018-05-08 19:30:24,2018-05-07,INTX,Stanfield Michael R,"COB, Founder",S - Sale,206.0,-5000,1671208,0%,-10300.0,,,,,INTX
26,,2018-05-02 13:10:15,2018-04-30,INTX,Stanfield Michael R,"COB, Founder",S - Sale,176.0,-5000,1676208,0%,-8800.0,,,,,INTX
27,,2018-04-25 15:16:34,2018-04-23,INTX,Stanfield Michael R,"COB, Founder",S - Sale,177.0,-5000,1681208,0%,-8850.0,,,,,INTX
28,,2018-04-17 13:32:07,2018-04-16,INTX,Stanfield Michael R,"COB, Founder",S - Sale,192.0,-5000,1686208,0%,-9600.0,,,,,INTX
29,,2018-04-10 16:02:36,2018-04-09,INTX,Stanfield Michael R,"COB, Founder",S - Sale,206.0,-5000,1691208,0%,-10300.0,,,,,INTX
30,,2018-04-04 17:17:51,2018-04-03,INTX,Stanfield Michael R,"COB, Founder",S - Sale,159.0,-4000,1696208,0%,-6360.0,,,,,INTX
31,,2018-04-03 12:50:09,2018-04-02,INTX,Stanfield Michael R,"COB, Founder",S - Sale,156.0,-1000,1700208,0%,-1560.0,,,,,INTX
32,,2018-03-28 14:02:26,2018-03-28,INTX,Stanfield Michael R,"COB, Founder",S - Sale,170.0,-5000,1701208,0%,-8500.0,,,,,INTX
33,,2018-03-20 21:24:02,2018-03-20,INTX,Stanfield Michael R,"COB, Founder",S - Sale,197.0,-5000,1706208,0%,-9850.0,,,,,INTX
