,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-02-28 17:39:21,2022-02-25,CSGS,Schaaf David Neil,"SVP, Chief Accounting Officer",S - Sale,6153.0,-1500,11616,-11%,-92297.0,,,,,CSGS
1,,2021-03-12 17:53:54,2021-03-11,CSGS,Johns Rolland B,"EVP, CFO",S - Sale,4813.0,-2843,76812,-4%,-136834.0,,,,,CSGS
2,,2021-03-02 07:07:50,2021-03-01,CSGS,Johns Rolland B,"EVP, CFO",S - Sale,4640.0,-11870,49845,-19%,-550801.0,,,,,CSGS
3,M,2021-02-26 09:12:55,2021-02-24,CSGS,Kennedy Kenneth M,"EVP, COO, Pres-RMDM",S - Sale,4669.0,-7048,114021,-6%,-329094.0,,,,,CSGS
4,,2021-02-23 20:39:45,2021-02-22,CSGS,Kennedy Kenneth M,"EVP, COO, Pres-RMDM",S - Sale,4563.0,-3280,122066,-3%,-149666.0,,,,,CSGS
5,,2020-04-29 14:30:13,2020-04-28,CSGS,Kennedy Kenneth M,"EVP, Pres, Technlgy, Product",S - Sale,4849.0,-4653,80404,-5%,-225607.0,,,,,CSGS
6,,2020-03-02 14:33:42,2020-02-28,CSGS,Kennedy Kenneth M,"EVP, Pres, Technlgy, Product",S - Sale,4431.0,-11183,56795,-16%,-495547.0,,,,,CSGS
7,,2020-02-24 13:23:27,2020-02-21,CSGS,Griess Bret C,"CEO, Pres",S - Sale,5189.0,-30000,292887,-9%,-1556835.0,,,,,CSGS
8,,2019-05-22 11:29:52,2019-05-21,CSGS,Reed Donald,Dir,S - Sale,4609.0,-6800,34868,-16%,-313412.0,,,,,CSGS
9,,2019-05-21 13:23:30,2019-05-17,CSGS,Reed Donald,Dir,S - Sale,4610.0,-200,41668,0%,-9220.0,,,,,CSGS
10,,2019-02-27 18:50:44,2019-02-26,CSGS,Kennedy Kenneth M,"EVP, Pres, Technlgy, Product",S - Sale,4179.0,-4247,54239,-7%,-177482.0,,,,,CSGS
11,,2019-02-22 17:01:58,2019-02-21,CSGS,Griess Bret C,"CEO, Pres",S - Sale,4088.0,-25000,254465,-9%,-1022000.0,,,,,CSGS
12,,2018-04-30 09:47:34,2018-04-27,CSGS,Wiese Randy,"EVP, CFO",S - Sale,4341.0,-17152,44133,-28%,-744568.0,,,,,CSGS
13,,2018-03-22 09:31:37,2018-03-20,CSGS,Wiese Randy,"EVP, CFO",S - Sale,4686.0,-11965,67829,-15%,-560680.0,,,,,CSGS
