,X,FilingDate,TradeDate,Ticker,CompanyName,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-08-05 11:38:28,2022-08-03,A,"Agilent Technologies, Inc.",McMahon Robert W.,"SVP, CFO",F - Tax,134.56,-2303,94721,-2%,-309892.0,,,,,NMG+A
1,,2022-07-01 14:48:47,2022-06-30,A,"Agilent Technologies, Inc.",McDonnell Padraig,SVP,S - Sale,118.63,-1000,17826,-5%,-118625.0,,,,,NMG+A
2,,2022-06-06 13:26:57,2022-06-02,A,"Agilent Technologies, Inc.",Thaysen Jacob,SVP,S - Sale,127.43,-5879,88737,-6%,-749179.0,,,,,NMG+A
3,,2022-05-20 10:24:27,2022-05-19,A,"Agilent Technologies, Inc.",McDonnell Padraig,SVP,F - Tax,122.4,-171,18826,-1%,-20930.0,,,,,NMG+A
4,,2022-05-17 16:10:40,2022-05-13,A,"Agilent Technologies, Inc.",Thaysen Jacob,SVP,F - Tax,119.38,-183,94616,0%,-21847.0,,,,,NMG+A
5,,2022-05-17 16:09:10,2022-05-13,A,"Agilent Technologies, Inc.",Raha Samraat S.,SVP,F - Tax,119.38,-226,65251,0%,-26980.0,,,,,NMG+A
6,D,2022-05-05 10:50:11,2022-05-03,A,"Agilent Technologies, Inc.",Ancher-Jensen Henrik,SVP,A - Grant,122.4,1645,88125,+2%,201348.0,,,,,NMG+A
7,,2022-03-21 17:16:33,2022-03-18,A,"Agilent Technologies, Inc.",Tang Michael,"SVP, GC,, Sec.",S - Sale,136.21,-1210,46829,-3%,-164814.0,,,,,NMG+A
8,,2022-03-21 17:13:22,2022-03-17,A,"Agilent Technologies, Inc.",Wilson Dow R,Dir,A - Grant,136.82,1785,12611,+16%,244224.0,,,,,NMG+A
9,,2022-03-21 17:12:04,2022-03-17,A,"Agilent Technologies, Inc.",Scangos George A,Dir,A - Grant,136.82,1785,32870,+6%,244224.0,,,,,NMG+A
10,,2022-03-21 17:10:56,2022-03-17,A,"Agilent Technologies, Inc.",Rataj Sue H.,Dir,A - Grant,136.82,1785,23275,+8%,244224.0,,,,,NMG+A
11,,2022-03-21 17:09:41,2022-03-17,A,"Agilent Technologies, Inc.",Podolsky Daniel K,Dir,A - Grant,136.82,2220,30892,+8%,303740.0,,,,,NMG+A
12,,2022-03-21 17:08:29,2022-03-17,A,"Agilent Technologies, Inc.",Fields Heidi,Dir,A - Grant,136.82,1785,57850,+3%,244224.0,,,,,NMG+A
13,,2022-03-21 17:07:18,2022-03-17,A,"Agilent Technologies, Inc.",Koh Boon Hwee,Dir,A - Grant,136.82,1785,70687,+3%,244224.0,,,,,NMG+A
14,,2022-03-21 17:07:18,2022-03-17,A,"Agilent Technologies, Inc.",Koh Boon Hwee,Dir,F - Tax,136.82,-536,70687,-1%,-73336.0,,,,,NMG+A
15,,2022-03-21 17:06:14,2022-03-17,A,"Agilent Technologies, Inc.",Dolsten Mikael,Dir,A - Grant,136.82,1785,2352,+315%,244224.0,,,,,NMG+A
16,,2022-03-21 17:05:06,2022-03-17,A,"Agilent Technologies, Inc.",Brawley Otis W,Dir,A - Grant,136.82,2582,3166,+442%,353269.0,,,,,NMG+A
17,,2022-03-21 17:03:44,2022-03-17,A,"Agilent Technologies, Inc.",Bishop Hans Edgar,Dir,A - Grant,136.82,2582,19853,+15%,353269.0,,,,,NMG+A
18,,2022-03-21 17:02:45,2022-03-17,A,"Agilent Technologies, Inc.",Anand Mala,Dir,A - Grant,136.82,1785,9392,+23%,244224.0,,,,,NMG+A
19,AD,2022-02-02 19:30:10,2021-11-16,A,"Agilent Technologies, Inc.",Raha Samraat S.,SVP,A - Grant,161.39,20643,66908,+45%,3331574.0,,,,,NMG+A
20,AD,2022-02-02 19:30:10,2021-11-16,A,"Agilent Technologies, Inc.",Raha Samraat S.,SVP,F - Tax,161.39,-5911,66908,-8%,-953976.0,,,,,NMG+A
21,,2021-12-30 19:21:38,2021-12-29,A,"Agilent Technologies, Inc.",Grau Dominique,SVP,S - Sale,161.0,-3669,85405,-4%,-590709.0,,,,,NMG+A
22,,2021-12-21 14:36:19,2021-12-20,A,"Agilent Technologies, Inc.",McMullen Michael R.,"CEO, Pres",S - Sale,148.82,-123459,191187,-39%,-18373168.0,,,,,NMG+A
23,AD,2021-12-17 10:25:45,2021-11-16,A,"Agilent Technologies, Inc.",Raha Samraat S.,SVP,A - Grant,161.39,20643,66171,+45%,3331574.0,,,,,NMG+A
24,AD,2021-12-17 10:25:45,2021-11-16,A,"Agilent Technologies, Inc.",Raha Samraat S.,SVP,F - Tax,161.39,-6648,66171,-9%,-1072921.0,,,,,NMG+A
25,A,2021-12-17 10:24:06,2021-11-30,A,"Agilent Technologies, Inc.",Gonsalves Rodney,"VP, Corporate Controller",G - Gift,150.9,-800,32766,-2%,-120720.0,,,,,NMG+A
