,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,DM,2021-11-08 16:38:23,2021-11-04,AHT,Ansell Benjamin J Md,Dir,S - Sale+OE,14.76,-166,37487,0%,-2451.0,,,,,AHT
1,D,2021-08-17 18:35:56,2021-08-16,AHT,Hays J Robison III,"Pres, CEO",P - Purchase,13.54,7500,109962,+7%,101550.0,,,,,AHT
2,D,2021-07-20 21:29:51,2021-07-19,AHT,Ansell Benjamin J Md,Dir,P - Purchase,16.87,5300,37653,+16%,89411.0,,,,,AHT
3,D,2021-06-03 18:26:35,2021-06-02,AHT,Nunneley Mark,Chief Accounting Officer,S - Sale+OE,6.0,-67641,127384,-35%,-405912.0,,,,,AHT
4,DM,2021-04-16 16:05:17,2021-04-15,AHT,Ansell Benjamin J Md,Dir,P - Purchase,2.07,100000,236223,+73%,206500.0,,,,,AHT
5,D,2020-12-17 20:57:51,2020-11-25,AHT,Tallis Alan,Dir,P - Purchase,0.0,23290,50268,+86%,0.0,,,,,AHT
6,D,2020-12-17 20:57:51,2020-11-25,AHT,Tallis Alan,Dir,S - Sale+OE,0.0,-4174,50268,-8%,-0.0,,,,,AHT
7,D,2020-09-14 16:16:49,2020-09-10,AHT,Ansell Benjamin J Md,Dir,P - Purchase,5.04,10000,121787,+9%,50400.0,,,,,AHT
8,D,2020-08-31 19:15:44,2020-08-28,AHT,Ansell Benjamin J Md,Dir,P - Purchase,2.92,50000,111787,+81%,146000.0,,,,,AHT
9,D,2020-08-10 21:36:59,2020-08-07,AHT,Ansell Benjamin J Md,Dir,P - Purchase,3.85,10000,149587,+7%,38500.0,,,,,AHT
10,D,2020-03-20 16:58:51,2020-03-19,AHT,Ansell Benjamin J Md,Dir,P - Purchase,0.5,50000,351067,+17%,25000.0,,,,,AHT
11,D,2019-08-28 16:15:57,2019-08-27,AHT,Nunneley Mark,Chief Accounting Officer,P - Purchase,2.38,40000,501867,+9%,95200.0,,,,,AHT
12,D,2019-06-26 16:15:37,2019-06-25,AHT,Ansell Benjamin J Md,Dir,P - Purchase,2.9,25000,247918,+11%,72500.0,,,,,AHT
13,D,2019-06-19 16:18:28,2019-06-18,AHT,Ansell Benjamin J Md,Dir,P - Purchase,3.36,20000,222918,+10%,67200.0,,,,,AHT
14,DM,2018-07-06 17:45:55,2018-07-03,AHT,Tallis Alan,Dir,S - Sale+OE,8.42,-20000,232219,-8%,-168321.0,,,,,AHT
15,D,2018-07-03 16:00:46,2018-06-29,AHT,Tallis Alan,Dir,S - Sale+OE,8.01,-10000,252219,-4%,-80086.0,,,,,AHT
