,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2021-12-15 20:29:17,2021-12-10,ARC,Mealy Mark W,Dir,P - Purchase,3.14,13000,319946,+4%,40825.0,,,,,ARC
1,M,2021-12-15 18:09:19,2021-12-13,ARC,Suriyakumar Kumarakulasingam,"COB, Pres, CEO, 10%",P - Purchase,3.24,41898,1595772,+3%,135863.0,,,,,ARC
2,M,2021-12-08 17:52:55,2021-12-06,ARC,Suriyakumar Kumarakulasingam,"COB, Pres, CEO, 10%",P - Purchase,2.92,59835,1553874,+4%,174659.0,,,,,ARC
3,,2021-12-06 18:08:58,2021-12-02,ARC,Roy Rahul K,CTO,S - Sale,2.7,-54456,385006,-12%,-147064.0,,,,,ARC
4,M,2021-12-01 18:08:28,2021-11-29,ARC,Suriyakumar Kumarakulasingam,"COB, Pres, CEO, 10%",P - Purchase,2.92,57479,1494039,+4%,168004.0,,,,,ARC
5,M,2021-11-24 19:23:58,2021-11-22,ARC,Suriyakumar Kumarakulasingam,"COB, Pres, CEO, 10%",P - Purchase,2.98,45748,1436560,+3%,136367.0,,,,,ARC
6,M,2021-11-17 18:08:39,2021-11-15,ARC,Suriyakumar Kumarakulasingam,"COB, Pres, CEO, 10%",P - Purchase,3.06,40218,1390812,+3%,123086.0,,,,,ARC
7,M,2021-11-15 18:02:50,2021-11-11,ARC,Mealy Mark W,Dir,P - Purchase,3.08,20000,306946,+7%,61537.0,,,,,ARC
8,M,2021-11-10 17:56:36,2021-11-08,ARC,Suriyakumar Kumarakulasingam,"COB, Pres, CEO, 10%",P - Purchase,3.0,48117,1350594,+4%,144475.0,,,,,ARC
9,M,2021-11-03 18:18:00,2021-11-01,ARC,Suriyakumar Kumarakulasingam,"COB, Pres, CEO, 10%",P - Purchase,3.15,59667,1302477,+5%,187681.0,,,,,ARC
10,M,2021-10-27 18:03:21,2021-10-25,ARC,Suriyakumar Kumarakulasingam,"COB, Pres, CEO, 10%",P - Purchase,2.75,51492,1242810,+4%,141781.0,,,,,ARC
11,M,2021-09-15 17:34:02,2021-09-13,ARC,Suriyakumar Kumarakulasingam,"COB, Pres, CEO, 10%",P - Purchase,2.62,27371,1191318,+2%,71708.0,,,,,ARC
12,M,2021-08-18 18:51:25,2021-08-16,ARC,Suriyakumar Kumarakulasingam,"COB, Pres, CEO, 10%",P - Purchase,2.65,2884,1163947,0%,7635.0,,,,,ARC
13,M,2021-08-04 18:44:17,2021-08-02,ARC,Suriyakumar Kumarakulasingam,"COB, Pres, CEO, 10%",P - Purchase,2.25,47070,1161063,+4%,106113.0,,,,,ARC
14,M,2021-07-28 18:15:58,2021-07-26,ARC,Suriyakumar Kumarakulasingam,"COB, Pres, CEO, 10%",P - Purchase,2.03,18221,1113993,+2%,36930.0,,,,,ARC
15,M,2020-12-08 19:52:56,2020-12-04,ARC,Suriyakumar Kumarakulasingam,"COB, Pres, CEO, 10%",S - Sale,1.24,-685497,3618436,-16%,-848230.0,,,,,ARC
16,M,2020-12-04 16:53:05,2020-12-02,ARC,Suriyakumar Kumarakulasingam,"COB, Pres, CEO, 10%",S - Sale,1.41,-162503,4303933,-4%,-228809.0,,,,,ARC
17,,2020-11-27 14:22:40,2020-11-24,ARC,Roy Rahul K,CTO,S - Sale,1.29,-43257,361758,-11%,-55607.0,,,,,ARC
18,M,2020-03-19 14:25:02,2020-03-17,ARC,Mealy Mark W,Dir,P - Purchase,0.58,17000,223645,+8%,9817.0,,,,,ARC
19,M,2019-12-09 15:40:54,2019-12-05,ARC,Mealy Mark W,Dir,P - Purchase,1.1,50000,206645,+32%,55229.0,,,,,ARC
20,,2018-12-21 19:53:51,2018-12-21,ARC,Suriyakumar Kumarakulasingam,"COB, Pres, CEO, 10%",P - Purchase,1.87,100000,4316436,+2%,186680.0,,,,,ARC
21,,2018-07-02 19:28:05,2018-06-29,ARC,Grimes Dennis Jeffery,"VP, Sr. Counsel, Corp Secty",P - Purchase,1.51,3209,46802,+7%,4846.0,,,,,ARC
