,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
19,M,2021-12-29 20:46:12,2021-12-27,CPSS,"Black Diamond Capital Management, L.L.C.",10%,P - Purchase,$9.49,17523,4071500,0%,"+$166,238",,,,,CPSS
20,,2021-11-17 14:07:53,2021-11-17,CPSS,Grasso Louis M,Dir,P - Purchase,$8.43,2000,5000,+67%,"+$16,860",,,,,CPSS
21,M,2021-11-15 19:57:58,2021-11-11,CPSS,Creatura Mark,SVP,S - Sale,$8.07,-7000,338616,-2%,"-$56,510",,,,,CPSS
22,,2021-06-25 21:14:34,2021-06-22,CPSS,Grasso Louis M,Dir,P - Purchase,$4.51,200,5300,+4%,+$902,,,,,CPSS
23,,2021-06-11 19:02:06,2021-06-09,CPSS,Grasso Louis M,Dir,P - Purchase,$4.80,100,5100,+2%,+$480,,,,,CPSS
24,,2021-05-27 19:12:01,2021-05-25,CPSS,Grasso Louis M,Dir,P - Purchase,$4.50,92,4992,+2%,+$414,,,,,CPSS
25,,2021-05-24 21:11:44,2021-05-18,CPSS,Grasso Louis M,Dir,P - Purchase,$4.12,1000,4900,+26%,"+$4,120",,,,,CPSS
26,M,2021-05-21 18:37:34,2021-05-18,CPSS,Washer Greg,Dir,P - Purchase,$4.19,3346,106803,+3%,"+$14,025",,,,,CPSS
27,,2021-03-10 20:35:29,2021-03-08,CPSS,Wood Daniel S,Dir,S - Sale,$4.30,-17000,149165,-10%,"-$73,100",,,,,CPSS
28,M,2020-12-17 17:59:04,2020-12-15,CPSS,Washer Greg,Dir,S - Sale,$4.05,-51976,127000,-29%,"-$210,423",,,,,CPSS
29,,2020-12-14 19:47:15,2020-12-10,CPSS,Washer Greg,Dir,S - Sale,$4.03,-30094,178976,-14%,"-$121,381",,,,,CPSS
30,M,2020-12-10 17:51:50,2020-12-08,CPSS,Washer Greg,Dir,S - Sale,$4.06,-41674,209070,-17%,"-$169,373",,,,,CPSS
31,M,2020-12-09 17:13:27,2020-12-07,CPSS,Creatura Mark,SVP,S - Sale,$4.05,-30650,378016,-8%,"-$124,161",,,,,CPSS
32,,2019-11-14 17:18:13,2019-11-13,CPSS,Washer Greg,Dir,S - Sale,$3.42,-40000,250744,-14%,"-$136,802",,,,,CPSS
33,,2019-11-12 19:42:56,2019-11-07,CPSS,Washer Greg,Dir,S - Sale,$3.42,-13369,290744,-4%,"-$45,722",,,,,CPSS
34,D,2019-03-12 19:01:59,2019-03-08,CPSS,Rayhill Brian,Dir,S - Sale+OE,$4.20,-24500,22337,-52%,"-$102,900",,,,,CPSS
35,M,2018-12-17 16:30:15,2018-12-13,CPSS,Washer Greg,Dir,S - Sale,$3.41,-23631,304113,-7%,"-$80,689",,,,,CPSS
36,D,2018-07-12 16:07:19,2018-07-10,CPSS,Citigroup Inc,10%,S - Sale+OE,$4.00,-5,1999995,0%,-$20,,,,,CPSS
