,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,ticker
0,,2022-03-14 16:08:17,2022-03-10,COWN,Lasota Stephen,CFO,S - Sale,$0.00,-50,282348,0%,-$0,,,,,COWN
1,,2022-02-28 16:31:35,2022-02-25,COWN,Kim Lorence H.,Dir,P - Purchase,$30.03,30000,30000,New,"+$900,849",,,,,COWN
2,,2022-02-23 16:36:25,2022-02-23,COWN,Barth Brett H,Dir,P - Purchase,$28.78,10000,109880,+10%,"+$287,798",,,,,COWN
3,,2021-11-29 16:10:44,2021-11-26,COWN,Barth Brett H,Dir,P - Purchase,$35.85,10000,99880,+11%,"+$358,466",,,,,COWN
4,,2021-07-29 16:31:21,2021-07-28,COWN,Solomon Jeffrey M,"Chair, CEO",S - Sale,$40.00,-2868,915099,0%,"-$114,720",,,,,COWN
5,,2021-07-29 16:30:11,2021-07-28,COWN,Littman Owen S,GC,S - Sale,$40.00,-1147,191577,-1%,"-$45,880",,,,,COWN
6,,2021-07-29 16:29:14,2021-07-28,COWN,Lasota Stephen,CFO,S - Sale,$40.00,-1433,237163,-1%,"-$57,320",,,,,COWN
7,,2021-07-29 16:27:25,2021-07-28,COWN,Holmes John J,COO,S - Sale,$40.00,-1434,206454,-1%,"-$57,360",,,,,COWN
8,M,2021-07-15 19:16:08,2021-07-13,COWN,Solomon Jeffrey M,"Chair, CEO",S - Sale,$40.24,-22132,917967,-2%,"-$890,691",,,,,COWN
9,M,2021-07-15 19:15:39,2021-07-13,COWN,Littman Owen S,GC,S - Sale,$40.24,-8853,192724,-4%,"-$356,285",,,,,COWN
10,M,2021-07-15 19:13:42,2021-07-13,COWN,Lasota Stephen,CFO,S - Sale,$40.24,-11067,238596,-4%,"-$445,386",,,,,COWN
11,M,2021-07-15 19:12:52,2021-07-13,COWN,Holmes John J,COO,S - Sale,$40.24,-11066,207888,-5%,"-$445,345",,,,,COWN
12,,2021-03-12 16:19:29,2021-03-11,COWN,Littman Owen S,GC,S - Sale,$39.97,-14000,206017,-6%,"-$559,558",,,,,COWN
13,,2021-03-12 16:18:34,2021-03-11,COWN,Lasota Stephen,CFO,S - Sale,$39.36,-14000,253652,-5%,"-$551,043",,,,,COWN
14,,2021-03-12 16:15:27,2021-03-11,COWN,Holmes John J,COO,S - Sale,$42.49,-14000,223654,-6%,"-$594,860",,,,,COWN
15,,2021-02-23 16:16:16,2021-02-22,COWN,Solomon Jeffrey M,"Chair, CEO",S - Sale,$37.19,-65000,922468,-7%,"-$2,417,142",,,,,COWN
16,,2020-11-04 16:14:57,2020-11-02,COWN,Solomon Jeffrey M,"COB, CEO",S - Sale,$22.09,-10014,828724,-1%,"-$221,209",,,,,COWN
17,,2020-03-20 16:16:23,2020-03-19,COWN,Barth Brett H,Dir,P - Purchase,$6.29,10000,91052,+12%,"+$62,934",,,,,COWN
18,,2020-03-13 16:21:25,2020-03-12,COWN,Barth Brett H,Dir,P - Purchase,$10.04,10000,81052,+14%,"+$100,390",,,,,COWN
19,,2020-03-11 07:57:33,2020-03-09,COWN,Solomon Jeffrey M,"COB, CEO",P - Purchase,$12.13,10000,860675,+1%,"+$121,305",,,,,COWN
20,,2020-03-11 07:56:53,2020-03-09,COWN,Littman Owen S,GC,P - Purchase,$12.13,2000,182699,+1%,"+$24,261",,,,,COWN
21,,2020-03-11 07:56:18,2020-03-09,COWN,Leibowitz Lawrence E,Dir,P - Purchase,$12.13,8000,26604,+43%,"+$97,044",,,,,COWN
22,,2020-03-11 07:54:39,2020-03-09,COWN,Lasota Stephen,CFO,P - Purchase,$12.13,2000,229911,+1%,"+$24,261",,,,,COWN
23,,2020-03-11 07:53:13,2020-03-09,COWN,Holmes John J,COO,P - Purchase,$12.13,2000,187074,+1%,"+$24,261",,,,,COWN
24,,2020-03-11 07:52:33,2020-03-09,COWN,Barth Brett H,Dir,P - Purchase,$12.13,10000,71052,+16%,"+$121,305",,,,,COWN
25,,2019-07-30 16:25:18,2019-07-29,COWN,Littman Owen S,GC,S - Sale,$17.88,-10000,164870,-6%,"-$178,849",,,,,COWN
26,,2019-06-04 16:31:19,2019-05-31,COWN,Barth Brett H,Dir,P - Purchase,$15.29,20000,47332,+73%,"+$305,780",,,,,COWN
27,,2018-12-26 16:09:18,2018-12-21,COWN,Barth Brett H,Dir,P - Purchase,$12.92,5000,27332,+22%,"+$64,579",,,,,COWN
28,,2018-11-26 16:08:19,2018-11-21,COWN,Barth Brett H,Dir,P - Purchase,$15.33,10000,22332,+81%,"+$153,271",,,,,COWN
29,M,2018-06-21 16:59:00,2018-06-19,COWN,Cohen Peter A,Dir,S - Sale,$15.09,-6090,689505,-1%,"-$91,903",,,,,COWN
30,M,2018-06-15 16:53:49,2018-06-13,COWN,Cohen Peter A,Dir,S - Sale,$15.23,-5000,695595,-1%,"-$76,151",,,,,COWN
31,M,2018-06-12 16:38:46,2018-06-08,COWN,Cohen Peter A,Dir,S - Sale,$15.18,-4000,700595,-1%,"-$60,706",,,,,COWN
32,M,2018-05-31 17:07:38,2018-05-29,COWN,Cohen Peter A,Dir,S - Sale,$15.04,-2000,704595,0%,"-$30,075",,,,,COWN
33,M,2018-05-25 16:45:23,2018-05-23,COWN,Cohen Peter A,Dir,S - Sale,$15.16,-8372,706595,-1%,"-$126,892",,,,,COWN
34,M,2018-05-21 17:03:08,2018-05-17,COWN,Cohen Peter A,Dir,S - Sale,$15.78,-9908,714967,-1%,"-$156,375",,,,,COWN
35,M,2018-05-16 17:09:01,2018-05-14,COWN,Cohen Peter A,Dir,S - Sale,$15.70,-19500,724875,-3%,"-$306,163",,,,,COWN
36,M,2018-05-11 16:49:29,2018-05-09,COWN,Cohen Peter A,Dir,S - Sale,$15.64,-19500,744375,-3%,"-$305,018",,,,,COWN
37,M,2018-05-08 16:47:39,2018-05-04,COWN,Cohen Peter A,Dir,S - Sale,$15.53,-19500,763875,-2%,"-$302,929",,,,,COWN
38,M,2018-05-03 17:06:39,2018-05-01,COWN,Cohen Peter A,Dir,S - Sale,$15.29,-14500,783375,-2%,"-$221,688",,,,,COWN
39,M,2018-04-30 17:29:39,2018-04-26,COWN,Cohen Peter A,Dir,S - Sale,$15.89,-19000,797875,-2%,"-$301,951",,,,,COWN
40,M,2018-04-25 16:49:01,2018-04-23,COWN,Cohen Peter A,Dir,S - Sale,$15.20,-16502,816875,-2%,"-$250,817",,,,,COWN
41,M,2018-04-20 17:26:14,2018-04-18,COWN,Cohen Peter A,Dir,S - Sale,$15.08,-24000,833377,-3%,"-$361,986",,,,,COWN
42,M,2018-04-17 16:54:27,2018-04-13,COWN,Cohen Peter A,Dir,S - Sale,$14.81,-16500,857377,-2%,"-$244,447",,,,,COWN
43,M,2018-04-12 16:47:11,2018-04-10,COWN,Cohen Peter A,Dir,S - Sale,$14.53,-12000,873877,-1%,"-$174,303",,,,,COWN
44,M,2018-04-09 16:53:24,2018-04-05,COWN,Cohen Peter A,Dir,S - Sale,$14.20,-4000,885877,0%,"-$56,785",,,,,COWN
