,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-17 19:26:47,2022-03-15,WLDN,Whitelaw Paul Milton,"SVP, Business Development",S - Sale,28.04,-7458,24305,-23%,-209133.0,,,,,WLDN
1,,2022-03-17 19:24:44,2022-03-15,WLDN,Chen Micah,GC,S - Sale,28.04,-4186,22243,-16%,-117380.0,,,,,WLDN
2,,2022-03-17 19:23:03,2022-03-15,WLDN,Early Creighton K,"VP, CFO",S - Sale,28.04,-8224,43251,-16%,-230611.0,,,,,WLDN
3,,2022-03-17 19:21:18,2022-03-15,WLDN,Brisbin Thomas Donald,CEO,S - Sale,28.04,-31904,383643,-8%,-894626.0,,,,,WLDN
4,,2022-03-17 19:19:43,2022-03-15,WLDN,Bieber Michael A,Pres,S - Sale,28.04,-25402,125970,-17%,-712302.0,,,,,WLDN
5,,2022-03-10 19:33:51,2022-03-10,WLDN,Brisbin Thomas Donald,CEO,S - Sale,31.76,-3427,358356,-1%,-108831.0,,,,,WLDN
6,,2021-12-20 18:26:56,2021-12-17,WLDN,Chen Micah,GC,S - Sale,41.01,-5037,14397,-26%,-206567.0,,,,,WLDN
7,D,2021-12-17 17:35:03,2021-12-15,WLDN,Whitelaw Paul Milton,"SVP, Business Development",S - Sale+OE,40.93,-11000,15079,-42%,-450252.0,,,,,WLDN
8,,2021-12-15 20:20:15,2021-12-14,WLDN,Early Creighton K,"VP, CFO",S - Sale,41.5,-1369,33607,-4%,-56814.0,,,,,WLDN
9,,2021-12-13 17:58:39,2021-12-09,WLDN,Brisbin Thomas Donald,CEO,S - Sale,41.84,-15936,337807,-5%,-666755.0,,,,,WLDN
10,D,2021-09-10 18:32:06,2021-09-08,WLDN,Bieber Michael A,Pres,S - Sale+OE,37.88,-22236,89630,-20%,-842300.0,,,,,WLDN
11,,2021-09-09 18:07:28,2021-09-07,WLDN,Procell Adam C,CHIEF STRATEGY OFFICER,S - Sale,38.0,-1844,17490,-10%,-70072.0,,,,,WLDN
12,,2021-06-21 18:15:11,2021-06-17,WLDN,Chen Micah,GC,S - Sale,37.92,-2000,19044,-10%,-75840.0,,,,,WLDN
13,,2021-06-17 18:19:40,2021-06-16,WLDN,Chen Micah,GC,S - Sale,39.23,-1664,21044,-7%,-65279.0,,,,,WLDN
14,,2021-06-15 18:13:58,2021-06-14,WLDN,Whitelaw Paul Milton,"SVP, Business Development",S - Sale,40.36,-2000,14837,-12%,-80720.0,,,,,WLDN
15,M,2021-06-15 18:00:52,2021-06-11,WLDN,Brisbin Thomas Donald,CEO,S - Sale,39.32,-10000,353353,-3%,-393160.0,,,,,WLDN
16,,2021-06-10 20:47:45,2021-06-09,WLDN,Whitelaw Paul Milton,"SVP, Business Development",S - Sale,38.7,-5445,16633,-25%,-210722.0,,,,,WLDN
17,D,2021-05-27 18:34:24,2021-05-26,WLDN,Brisbin Thomas Donald,CEO,S - Sale+OE,36.65,-1148,339441,0%,-42074.0,,,,,WLDN
18,D,2021-05-26 20:12:34,2021-05-25,WLDN,Brisbin Thomas Donald,CEO,S - Sale+OE,36.31,-12461,338540,-4%,-452459.0,,,,,WLDN
19,D,2021-05-24 18:03:46,2021-05-21,WLDN,Brisbin Thomas Donald,CEO,S - Sale+OE,30.09,-390,328752,0%,-11735.0,,,,,WLDN
20,M,2021-03-26 18:04:43,2021-03-22,WLDN,Brisbin Thomas Donald,CEO,S - Sale,37.92,-18709,328440,-5%,-709475.0,,,,,WLDN
21,M,2021-03-26 18:03:51,2021-03-22,WLDN,Bieber Michael A,Pres,S - Sale,37.92,-13200,71799,-16%,-500564.0,,,,,WLDN
22,M,2021-03-26 18:03:01,2021-03-22,WLDN,Chow Daniel,COO,S - Sale,37.92,-2297,55233,-4%,-87107.0,,,,,WLDN
23,M,2021-03-26 18:02:34,2021-03-22,WLDN,Chen Micah,GC,S - Sale,37.92,-1838,13971,-12%,-69697.0,,,,,WLDN
24,M,2021-03-26 18:02:01,2021-03-22,WLDN,McLaughlin Stacy B.,CFO,S - Sale,37.92,-3058,19411,-14%,-115966.0,,,,,WLDN
25,M,2021-03-26 18:01:28,2021-03-22,WLDN,Whitelaw Paul Milton,"SVP, Business Development",S - Sale,37.92,-1838,22078,-8%,-69697.0,,,,,WLDN
26,M,2021-03-23 18:14:41,2021-03-11,WLDN,Brisbin Thomas Donald,CEO,S - Sale,46.91,-16893,347149,-5%,-792432.0,,,,,WLDN
27,M,2021-03-23 18:14:25,2021-03-11,WLDN,Bieber Michael A,Pres,S - Sale,46.91,-13348,84999,-14%,-626136.0,,,,,WLDN
28,M,2021-03-23 18:13:47,2021-03-11,WLDN,Chow Daniel,COO,S - Sale,46.91,-2217,57530,-4%,-103996.0,,,,,WLDN
29,M,2021-03-23 18:13:21,2021-03-11,WLDN,McLaughlin Stacy B.,CFO,S - Sale,46.91,-2848,22469,-11%,-133598.0,,,,,WLDN
30,M,2021-03-23 18:13:01,2021-03-11,WLDN,Chen Micah,GC,S - Sale,46.82,-1756,15809,-10%,-82222.0,,,,,WLDN
31,DM,2021-03-23 18:12:29,2021-03-11,WLDN,Whitelaw Paul Milton,"SVP, Business Development",S - Sale+OE,42.3,-6763,23916,-22%,-286100.0,,,,,WLDN
32,M,2021-03-23 18:11:38,2021-03-11,WLDN,Procell Adam C,Chief Strategy Officer,S - Sale,46.86,-783,19002,-4%,-36688.0,,,,,WLDN
33,,2021-03-23 18:06:56,2021-03-19,WLDN,Coy Debra,Dir,S - Sale,40.72,-1000,8504,-11%,-40720.0,,,,,WLDN
34,M,2020-12-18 13:33:05,2020-12-16,WLDN,Chen Micah,GC,S - Sale,40.3,-8000,7905,-50%,-322360.0,,,,,WLDN
35,D,2020-12-18 13:31:46,2020-12-16,WLDN,Whitelaw Paul Milton,"SVP, Business Development",S - Sale+OE,39.84,-10000,15933,-39%,-398400.0,,,,,WLDN
36,,2020-06-22 19:13:49,2020-06-19,WLDN,Bieber Michael A,Pres,S - Sale,23.47,-30934,49690,-38%,-726043.0,,,,,WLDN
37,,2020-06-22 18:51:00,2020-06-19,WLDN,Brisbin Thomas Donald,CEO,S - Sale,23.51,-39090,271712,-13%,-919006.0,,,,,WLDN
38,,2020-06-22 18:50:40,2020-06-19,WLDN,Chow Daniel,COO,S - Sale,23.52,-4832,55530,-8%,-113649.0,,,,,WLDN
39,,2020-06-22 18:50:23,2020-06-19,WLDN,McLaughlin Stacy B.,CFO,S - Sale,23.52,-4737,15035,-24%,-111414.0,,,,,WLDN
40,,2020-06-22 18:50:06,2020-06-19,WLDN,Chen Micah,GC,S - Sale,23.52,-3758,15318,-20%,-88388.0,,,,,WLDN
41,,2020-06-22 18:49:50,2020-06-19,WLDN,Whitelaw Paul Milton,"SVP, Business Development",S - Sale,23.49,-3764,15821,-19%,-88416.0,,,,,WLDN
42,,2020-06-22 18:49:32,2020-06-19,WLDN,Procell Adam C,Pres,S - Sale,23.52,-1700,17506,-9%,-39984.0,,,,,WLDN
43,,2020-06-12 12:43:57,2020-06-11,WLDN,Holdsworth Raymond W Jr,Dir,P - Purchase,23.79,2000,95810,+2%,47580.0,,,,,WLDN
44,DM,2020-06-09 19:23:42,2020-06-05,WLDN,Brisbin Thomas Donald,CEO,S - Sale+OE,27.38,-27763,240696,-10%,-760131.0,,,,,WLDN
45,,2020-05-19 16:58:21,2020-05-18,WLDN,Shahidehpour Mohammad,Dir,S - Sale,22.49,-7110,7200,-50%,-159904.0,,,,,WLDN
46,,2020-03-16 13:50:24,2020-03-13,WLDN,Coy Debra,Dir,P - Purchase,24.23,1000,6451,+18%,24230.0,,,,,WLDN
47,M,2019-06-11 17:56:22,2019-06-07,WLDN,Whitelaw Paul Milton,"SVP, Business Development",S - Sale,31.74,-3500,5342,-40%,-111077.0,,,,,WLDN
48,D,2019-06-07 17:09:11,2019-06-05,WLDN,Brisbin Thomas Donald,CEO,S - Sale+OE,32.26,-8701,202773,-4%,-280694.0,,,,,WLDN
49,DM,2019-05-28 17:12:33,2019-05-23,WLDN,Brisbin Thomas Donald,CEO,S - Sale+OE,35.15,-33337,194811,-15%,-1171928.0,,,,,WLDN
50,,2018-05-25 17:28:30,2018-05-23,WLDN,Bieber Michael A,Pres,S - Sale,26.99,-4000,3333,-55%,-107960.0,,,,,WLDN
51,D,2018-05-25 17:28:00,2018-05-23,WLDN,Whitelaw Paul Milton,"SVP, Business Development",S - Sale+OE,27.18,-4709,3376,-58%,-127991.0,,,,,WLDN
