,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,,2022-03-21 13:35:40,2022-03-18,BOOM,Graff Richard P,Dir,S - Sale,34.58,-1000,13795,-7%,-34580.0,,,,,BOOM
1,,2021-03-16 17:57:32,2021-03-11,BOOM,Aldous David C,Dir,S - Sale,67.0,-2000,30331,-6%,-134000.0,,,,,BOOM
2,,2021-03-12 16:54:16,2021-03-11,BOOM,Kuta Michael,CFO,S - Sale,66.36,-10000,10695,-48%,-663600.0,,,,,BOOM
3,,2021-03-04 18:19:23,2021-03-02,BOOM,Nobili Antoine,Pres of NobelClad,S - Sale,62.89,-3333,9500,-26%,-209612.0,,,,,BOOM
4,D,2021-03-01 16:15:24,2021-02-25,BOOM,Shepston Michelle H,GC,S - Sale+OE,65.06,-1461,18434,-7%,-95053.0,,,,,BOOM
5,D,2021-03-01 16:10:33,2021-02-26,BOOM,Kuta Michael,CFO,S - Sale+OE,63.36,-1634,20695,-7%,-103530.0,,,,,BOOM
6,D,2021-03-01 16:08:59,2021-02-26,BOOM,Longe Kevin T,"Pres, CEO",S - Sale+OE,63.94,-8417,39222,-18%,-538183.0,,,,,BOOM
7,,2021-02-26 16:26:19,2021-02-24,BOOM,Aldous David C,Dir,S - Sale,65.53,-2000,32331,-6%,-131050.0,,,,,BOOM
8,M,2021-02-25 17:26:27,2021-02-24,BOOM,Cohen Robert A,Dir,S - Sale,65.31,-10001,13301,-43%,-653147.0,,,,,BOOM
9,,2021-02-25 16:52:32,2021-02-24,BOOM,Cariou Yvon Pierre,Dir,S - Sale,64.1,-30000,85130,-26%,-1923000.0,,,,,BOOM
10,D,2021-02-24 16:37:50,2021-02-23,BOOM,Kuta Michael,CFO,S - Sale+OE,67.84,-556,18739,-3%,-37719.0,,,,,BOOM
11,,2020-12-04 16:19:28,2020-11-24,BOOM,Cariou Yvon Pierre,Dir,S - Sale,44.51,-10000,115130,-8%,-445100.0,,,,,BOOM
12,,2020-11-17 17:06:34,2020-11-16,BOOM,Shepston Michelle H,GC,S - Sale,40.17,-3000,15197,-16%,-120510.0,,,,,BOOM
13,,2020-11-16 17:16:14,2020-11-13,BOOM,Longe Kevin T,"Pres, CEO",S - Sale,36.98,-2000,39340,-5%,-73950.0,,,,,BOOM
14,,2020-11-04 17:48:12,2020-11-04,BOOM,Longe Kevin T,"Pres, CEO",S - Sale,35.98,-2000,41340,-5%,-71960.0,,,,,BOOM
15,,2020-11-02 16:29:03,2020-10-30,BOOM,Kuta Michael,CFO,S - Sale,35.25,-964,19295,-5%,-33981.0,,,,,BOOM
16,,2020-09-21 16:13:00,2020-09-17,BOOM,Grieves Ian,"Pres, Gen Mgr, DynaEnergetics",S - Sale,33.67,-1500,39332,-4%,-50505.0,,,,,BOOM
17,M,2020-08-25 16:18:48,2020-03-10,BOOM,Longe Kevin T,"Pres, CEO",P - Purchase,22.47,890,940,>999%,20001.0,,,,,BOOM
18,,2020-08-13 16:50:33,2020-08-11,BOOM,Bertone Andrea E.,Dir,S - Sale,34.97,-1248,0,-100%,-43640.0,,,,,BOOM
19,,2020-08-12 17:13:49,2020-08-11,BOOM,Shepston Michelle H,GC,S - Sale,35.68,-3000,18197,-14%,-107040.0,,,,,BOOM
20,,2020-05-04 18:51:21,2020-05-04,BOOM,Graff Richard P,Dir,S - Sale,24.12,-1000,14795,-6%,-24117.0,,,,,BOOM
21,,2020-03-11 17:02:06,2020-03-10,BOOM,Kuta Michael,CFO,P - Purchase,23.76,10000,19703,+103%,237600.0,,,,,BOOM
22,,2019-05-28 16:01:43,2019-05-23,BOOM,Graff Richard P,Dir,S - Sale,65.44,-1000,32243,-3%,-65445.0,,,,,BOOM
23,,2019-05-03 16:20:13,2019-05-02,BOOM,Grieves Ian,"Pres, Gen Mgr, DynaEnergetics",S - Sale,68.73,-1500,26988,-5%,-103095.0,,,,,BOOM
24,,2019-05-03 16:17:48,2019-05-01,BOOM,Kuta Michael,CFO,S - Sale,70.69,-4328,90264,-5%,-305953.0,,,,,BOOM
25,M,2019-03-06 18:42:43,2019-03-04,BOOM,Cariou Yvon Pierre,Dir,S - Sale,46.71,-17393,119823,-13%,-812490.0,,,,,BOOM
26,,2019-03-05 21:56:19,2019-03-01,BOOM,Cariou Yvon Pierre,Dir,S - Sale,47.56,-7607,137216,-5%,-361752.0,,,,,BOOM
27,,2018-08-23 13:35:02,2018-08-21,BOOM,Cariou Yvon Pierre,Dir,S - Sale,42.97,-25000,144823,-15%,-1074345.0,,,,,BOOM
28,,2018-08-21 09:12:37,2018-08-17,BOOM,Scheatzle John Edgar Jr,Pres of NobelClad,S - Sale,41.41,-1299,11446,-10%,-53792.0,,,,,BOOM
29,,2018-06-07 11:32:43,2018-06-05,BOOM,Graff Richard P,Dir,S - Sale,44.87,-1000,32147,-3%,-44868.0,,,,,BOOM
30,,2018-05-17 17:50:00,2018-05-17,BOOM,Kuta Michael,CFO,S - Sale,43.0,-5355,90469,-6%,-230265.0,,,,,BOOM
31,M,2018-05-15 17:40:54,2018-05-14,BOOM,Kuta Michael,CFO,S - Sale,40.78,-6000,95824,-6%,-244680.0,,,,,BOOM
