,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,M,2022-02-25 17:36:38,2022-02-23,AESE,Knighted Pastures LLC,10%,P - Purchase,1.8,259724,8072334,+3%,467424.0,,,,,AESE
1,,2022-01-27 17:13:06,2022-01-25,AESE,Knighted Pastures LLC,10%,P - Purchase,1.81,100000,7812610,+1%,181000.0,,,,,AESE
2,M,2022-01-25 16:52:41,2022-01-20,AESE,Knighted Pastures LLC,10%,P - Purchase,1.79,500888,7712610,+7%,898643.0,,,,,AESE
3,M,2022-01-10 20:36:25,2022-01-06,AESE,Knighted Pastures LLC,10%,P - Purchase,1.83,354833,7211722,+5%,649129.0,,,,,AESE
4,M,2021-12-17 20:05:52,2021-12-15,AESE,Knighted Pastures LLC,10%,P - Purchase,1.88,484906,6856889,+8%,912780.0,,,,,AESE
5,,2021-12-07 20:36:29,2021-12-03,AESE,Knighted Pastures LLC,10%,P - Purchase,1.87,213278,6371983,+3%,398830.0,,,,,AESE
6,M,2021-12-02 20:07:04,2021-11-30,AESE,Knighted Pastures LLC,10%,P - Purchase,1.81,1163927,6158705,+23%,2107247.0,,,,,AESE
7,M,2021-11-05 16:16:07,2021-11-04,AESE,Pliska Adam J,Dir,S - Sale,1.93,-109848,2190,-98%,-212403.0,,,,,AESE
8,M,2021-11-03 19:37:34,2021-11-01,AESE,Knighted Pastures LLC,10%,P - Purchase,1.84,112730,4994778,+2%,207007.0,,,,,AESE
9,,2021-03-22 18:27:46,2021-03-22,AESE,Hung Anthony A,CFO,S - Sale,4.0,-12501,85715,-13%,-50004.0,,,,,AESE
10,,2021-02-11 16:46:14,2021-02-10,AESE,Hung Anthony A,CFO,S - Sale,3.0,-12500,98216,-11%,-37500.0,,,,,AESE
11,,2021-02-11 16:45:48,2021-02-10,AESE,Pliska Adam J,Pres,S - Sale,2.75,-50862,107426,-32%,-139871.0,,,,,AESE
12,,2021-01-29 16:43:32,2020-12-14,AESE,Knighted Pastures LLC,10%,P - Purchase,1.48,388190,4882048,+9%,574730.0,,,,,AESE
13,,2020-12-15 18:03:22,2020-12-11,AESE,Knighted Pastures LLC,10%,P - Purchase,1.41,447138,4493858,+11%,630465.0,,,,,AESE
14,M,2020-12-10 17:19:00,2020-12-08,AESE,Knighted Pastures LLC,10%,P - Purchase,1.14,552862,3945720,+16%,630955.0,,,,,AESE
15,,2020-08-21 17:40:17,2020-08-19,AESE,Berman Lyle,Chairman,S - Sale,2.53,-455800,1065350,-30%,-1152354.0,,,,,AESE
16,,2020-08-21 17:07:44,2020-08-19,AESE,Hannigan Judson,CEO of Allied Esports Int'l,S - Sale,2.62,-50000,119813,-29%,-130865.0,,,,,AESE
17,M,2020-08-20 17:11:29,2020-08-18,AESE,Pliska Adam J,Pres,S - Sale,1.71,-243516,162265,-60%,-415398.0,,,,,AESE
18,M,2020-08-17 19:12:54,2020-08-13,AESE,Ng Frank,CEO,S - Sale,1.63,-104168,171456,-38%,-169876.0,,,,,AESE
19,M,2020-08-17 19:12:27,2020-08-13,AESE,Moon David,COO,S - Sale,1.63,-32995,64873,-34%,-53808.0,,,,,AESE
20,M,2020-08-17 19:12:10,2020-08-13,AESE,Hannigan Judson,CEO of Allied Esports Int'l,S - Sale,1.63,-137934,169813,-45%,-224941.0,,,,,AESE
21,M,2020-08-17 19:11:45,2020-08-13,AESE,Hung Anthony A,CFO,S - Sale,1.63,-24999,75001,-25%,-40768.0,,,,,AESE
22,M,2020-08-17 19:11:27,2020-08-13,AESE,Pliska Adam J,Pres,S - Sale,1.63,-10724,405781,-3%,-17489.0,,,,,AESE
23,,2020-08-12 16:00:15,2020-08-10,AESE,Decubellis Kenneth,10%,S - Sale,2.02,-113000,2304530,-5%,-228158.0,,,,,AESE
24,,2020-07-13 17:07:51,2020-07-09,AESE,Decubellis Kenneth,10%,S - Sale,2.5,-20000,2853532,-1%,-50000.0,,,,,AESE
25,,2020-06-25 16:39:15,2020-06-23,AESE,Decubellis Kenneth,10%,S - Sale,2.5,-20000,2873532,-1%,-50062.0,,,,,AESE
26,M,2020-06-22 19:37:31,2020-06-18,AESE,Decubellis Kenneth,10%,S - Sale,3.02,-140000,2893532,-5%,-422404.0,,,,,AESE
27,M,2020-06-18 15:03:36,2020-06-16,AESE,Pliska Adam J,Pres,S - Sale,2.13,-311015,437114,-42%,-662558.0,,,,,AESE
28,M,2020-06-16 18:09:37,2020-06-12,AESE,Pliska Adam J,Pres,S - Sale,2.48,-235286,748129,-24%,-583276.0,,,,,AESE
29,M,2020-06-12 16:40:06,2020-06-10,AESE,Decubellis Kenneth,10%,S - Sale,3.24,-156968,3033532,-5%,-507966.0,,,,,AESE
