,X,FilingDate,TradeDate,Ticker,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
0,M,2021-09-09 19:00:31,2021-09-07,CASA,Chen Weidong,CTO,S - Sale,7.02,-110000,2095361,-5%,-772400.0,,,,,CASA
1,M,2021-08-18 19:00:36,2021-08-16,CASA,Chen Weidong,CTO,S - Sale,6.85,-130000,2205361,-6%,-890500.0,,,,,CASA
2,,2021-08-16 19:00:24,2021-08-13,CASA,Hayashi Michael T,Dir,P - Purchase,7.13,1000,81415,+1%,7130.0,,,,,CASA
3,M,2021-07-23 19:00:17,2021-07-21,CASA,Chen Weidong,CTO,S - Sale,7.84,-130000,2335361,-5%,-1018550.0,,,,,CASA
4,M,2021-06-25 19:00:18,2021-06-23,CASA,Chen Weidong,CTO,S - Sale,8.82,-130000,2465361,-5%,-1146600.0,,,,,CASA
5,,2021-05-26 19:00:11,2021-05-24,CASA,Styslinger William C III,Dir,S - Sale,8.53,-60000,513413,-10%,-511800.0,,,,,CASA
6,,2021-04-06 20:06:29,2021-04-05,CASA,Xie Lucy,SVP of Operations,S - Sale,10.0,-41666,2066629,-2%,-416660.0,,,,,CASA
7,,2021-03-19 19:00:09,2021-03-18,CASA,Xie Lucy,SVP of Operations,S - Sale,10.0,-41666,2108295,-2%,-416660.0,,,,,CASA
8,,2021-03-02 18:35:17,2021-02-26,CASA,Slepian Matthew,Corporate Controller,S - Sale,8.44,-2425,9227,-21%,-20467.0,,,,,CASA
9,,2021-02-22 20:33:44,2021-02-19,CASA,Xie Lucy,SVP of Operations,S - Sale,11.33,-83332,2096338,-4%,-943735.0,,,,,CASA
10,,2019-11-13 19:08:38,2019-11-11,CASA,Hayashi Michael T,Dir,P - Purchase,3.44,3000,10061,+42%,10320.0,,,,,CASA
11,,2019-03-28 17:05:01,2019-03-14,CASA,Hayashi Michael T,Dir,P - Purchase,9.06,1000,3687,+37%,9060.0,,,,,CASA
12,,2019-03-11 20:19:18,2019-03-04,CASA,Hayashi Michael T,Dir,P - Purchase,10.35,1000,2687,+59%,10350.0,,,,,CASA
13,,2018-05-02 16:21:20,2018-04-30,CASA,Xie Lucy,SVP of Operations,S - Sale,23.89,-266381,2102644,-11%,-6363176.0,,,,,CASA
14,,2018-05-02 16:19:44,2018-04-30,CASA,Styslinger William C III,Dir,S - Sale,23.89,-62301,237699,-21%,-1488215.0,,,,,CASA
15,D,2018-05-02 16:18:46,2018-04-30,CASA,Pucheril Abraham,SVP of Worldwide Sales,S - Sale+OE,23.89,-62301,218220,-22%,-1488215.0,,,,,CASA
16,D,2018-05-02 16:17:41,2018-04-30,CASA,Hall Gary D,CFO,S - Sale+OE,23.89,-62301,0,-100%,-1488215.0,,,,,CASA
17,,2018-05-02 16:16:37,2018-04-30,CASA,Guo Jerry,"Pres, CEO, 10%",S - Sale,23.89,-1402905,10090810,-12%,-33511893.0,,,,,CASA
18,,2018-05-02 16:14:30,2018-04-30,CASA,Dragonfly 2012 Irrevocable Trust,10%,S - Sale,23.89,-415343,3584657,-10%,-9921506.0,,,,,CASA
19,,2018-05-02 16:13:14,2018-04-30,CASA,Chen Weidong,CTO,S - Sale,23.89,-360948,2402997,-13%,-8622145.0,,,,,CASA
20,,2018-04-30 16:07:34,2018-04-30,CASA,Summit Partners L P,"Manager of GP of 10% owner, 10%",S - Sale,25.0,-4717520,34124480,-12%,-117938000.0,,,,,CASA
21,,2018-04-30 16:06:35,2018-04-30,CASA,Evans Bruce R,"Dir, 10%",S - Sale,25.0,-4717520,34124480,-12%,-117938000.0,,,,,CASA
22,,2018-04-30 16:03:42,2018-04-30,CASA,Chung Peter Y,Dir,S - Sale,25.0,-4717520,34124480,-12%,-117938000.0,,,,,CASA
